"modelID","varName","value","temperature","climate","indoorUnittype","info"
"model-5984","title","Loria 6010","0","0","0","1"
"model-5984","application","2","0","0","0","1"
"model-5984","indoor","1","0","0","0","1"
"model-5984","outdoor","1","0","0","0","1"
"model-5984","coolingMode7c12c","0","0","0","0","1"
"model-5984","coolingMode18c23c","0","0","0","0","1"
"model-5984","colderClimate","0","0","0","0","1"
"model-5984","warmerClimate","0","0","0","0","1"
"model-5984","reversibility","0","0","0","0","1"
"model-5984","colderForHeating","0","0","0","0","1"
"model-5984","warmerForHeating","0","0","0","0","1"
"model-5984","en145112Certification","0","0","0","0","1"
"model-5984","heatSource","0","0","0","0","1"
"model-5984","additionalOutdoorAir","0","0","0","0","1"
"model-5984","additionalExhaustAir","0","0","0","0","1"
"model-5984","additionalIndoorAir","0","0","0","0","1"
"model-5984","additionalNonheatedSpaceAir","0","0","0","0","1"
"model-5984","powerSupply","1","0","0","0","1"
"model-5984","offPeakProduct","0","0","0","0","1"
"model-5984","EN14511_4_001","2","0","10","0","2"
"model-5984","EN14511_4_002","2","0","10","0","2"
"model-5984","EN14511_2_001","6.66","4","10","0","2"
"model-5984","EN14511_2_001","6.66","4","10","0","2"
"model-5984","EN14511_2_001","6.52","5","10","0","2"
"model-5984","EN14511_2_001","6.52","5","10","0","2"
"model-5984","EN14511_2_002","1.31","4","10","0","2"
"model-5984","EN14511_2_002","2.39","5","10","0","2"
"model-5984","EN14511_2_003","5.09","4","10","0","2"
"model-5984","EN14511_2_003","2.72","5","10","0","2"
"model-5984","EN14511_4_003","2","0","10","0","2"
"model-5984","EN14511_4_004","2","0","10","0","2"
"model-5984","EN14511_4_005","2","0","10","0","2"
"model-5984","EN14511_4_006","2","0","10","0","2"
"model-5984","EN12102_1_001","44","4","3","0","2"
"model-5984","EN12102_1_001","44","5","3","0","2"
"model-5984","EN12102_1_002","68","4","3","0","2"
"model-5984","EN12102_1_002","68","5","3","0","2"
"model-5984","EN14825_001","176","4","3","0","2"
"model-5984","EN14825_001","131","5","3","0","2"
"model-5984","EN14825_002","9.00","4","3","0","2"
"model-5984","EN14825_002","9.00","5","3","0","2"
"model-5984","EN14825_003","4.47","4","3","0","2"
"model-5984","EN14825_003","3.36","5","3","0","2"
"model-5984","EN14825_004","-7","4","3","0","2"
"model-5984","EN14825_004","-7","5","3","0","2"
"model-5984","EN14825_005","-10","4","3","0","2"
"model-5984","EN14825_005","-10","5","3","0","2"
"model-5984","EN14825_008","8.05","4","3","0","2"
"model-5984","EN14825_008","7.65","5","3","0","2"
"model-5984","EN14825_009","2.54","4","3","0","2"
"model-5984","EN14825_009","1.89","5","3","0","2"
"model-5984","EN14825_047","0.90","4","3","0","2"
"model-5984","EN14825_047","0.90","5","3","0","2"
"model-5984","EN14825_010","4.90","4","3","0","2"
"model-5984","EN14825_010","4.66","5","3","0","2"
"model-5984","EN14825_011","4.46","4","3","0","2"
"model-5984","EN14825_011","3.29","5","3","0","2"
"model-5984","EN14825_048","0.90","4","3","0","2"
"model-5984","EN14825_048","0.90","5","3","0","2"
"model-5984","EN14825_012","3.15","4","3","0","2"
"model-5984","EN14825_012","3.42","5","3","0","2"
"model-5984","EN14825_013","6.20","4","3","0","2"
"model-5984","EN14825_013","4.84","5","3","0","2"
"model-5984","EN14825_049","0.90","4","3","0","2"
"model-5984","EN14825_049","0.90","5","3","0","2"
"model-5984","EN14825_014","4.20","4","3","0","2"
"model-5984","EN14825_014","4.10","5","3","0","2"
"model-5984","EN14825_015","9.02","4","3","0","2"
"model-5984","EN14825_015","6.82","5","3","0","2"
"model-5984","EN14825_050","0.90","4","3","0","2"
"model-5984","EN14825_050","0.90","5","3","0","2"
"model-5984","EN14825_016","8.05","4","3","0","2"
"model-5984","EN14825_016","7.65","5","3","0","2"
"model-5984","EN14825_017","2.54","4","3","0","2"
"model-5984","EN14825_017","1.89","5","3","0","2"
