"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","Thermastage Compact Duo 03","0","0","0","1"
"","application","4","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","0","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","0","0","0","0","1"
"","EN14511_2_001","3.30","4","10","0","2"
"","EN14511_2_001","3.10","5","10","0","2"
"","EN14511_2_002","0.65","4","10","0","2"
"","EN14511_2_002","1.22","5","10","0","2"
"","EN14511_2_003","5.07","4","10","0","2"
"","EN14511_2_003","2.55","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN14511_4_006","2","0","10","0","2"
"","EN12102_1_001","40","4","3","0","2"
"","EN12102_1_001","40","5","3","0","2"
"","EN12102_1_002","57","4","3","0","2"
"","EN12102_1_002","57","5","3","0","2"
"","EN14825_001","181","4","3","0","2"
"","EN14825_001","126","5","3","0","2"
"","EN14825_002","4.40","4","3","0","2"
"","EN14825_002","4.20","5","3","0","2"
"","EN14825_003","4.60","4","3","0","2"
"","EN14825_003","3.22","5","3","0","2"
"","EN14825_004","-7","4","3","0","2"
"","EN14825_004","-7","5","3","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","3.90","4","3","0","2"
"","EN14825_008","3.70","5","3","0","2"
"","EN14825_009","3.09","4","3","0","2"
"","EN14825_009","1.96","5","3","0","2"
"","EN14825_047","0.990","4","3","0","2"
"","EN14825_047","1.000","5","3","0","2"
"","EN14825_010","2.40","4","3","0","2"
"","EN14825_010","2.30","5","3","0","2"
"","EN14825_011","4.43","4","3","0","2"
"","EN14825_011","3.09","5","3","0","2"
"","EN14825_048","0.980","4","3","0","2"
"","EN14825_048","0.990","5","3","0","2"
"","EN14825_012","2.10","4","3","0","2"
"","EN14825_012","2.20","5","3","0","2"
"","EN14825_013","6.07","4","3","0","2"
"","EN14825_013","4.48","5","3","0","2"
"","EN14825_049","0.970","4","3","0","2"
"","EN14825_049","0.980","5","3","0","2"
"","EN14825_014","2.40","4","3","0","2"
"","EN14825_014","2.30","5","3","0","2"
"","EN14825_015","7.85","4","3","0","2"
"","EN14825_015","6.19","5","3","0","2"
"","EN14825_050","0.970","4","3","0","2"
"","EN14825_050","0.980","5","3","0","2"
"","EN14825_016","3.90","4","3","0","2"
"","EN14825_016","3.70","5","3","0","2"
"","EN14825_017","3.09","4","3","0","2"
"","EN14825_017","1.96","5","3","0","2"
"","EN14825_018","3.90","4","3","0","2"
"","EN14825_018","3.30","5","3","0","2"
"","EN14825_019","2.76","4","3","0","2"
"","EN14825_019","1.63","5","3","0","2"
"","EN14825_021","0.990","4","3","0","2"
"","EN14825_021","1.000","5","3","0","2"
"","EN14825_022","55","4","3","0","2"
"","EN14825_022","55","5","3","0","2"
"","EN14825_023","4","4","3","0","2"
"","EN14825_023","4","5","3","0","2"
"","EN14825_024","9","4","3","0","2"
"","EN14825_024","9","5","3","0","2"
"","EN14825_025","8","4","3","0","2"
"","EN14825_025","8","5","3","0","2"
"","EN14825_026","0","4","3","0","2"
"","EN14825_026","0","5","3","0","2"
"","EN14825_027","1","4","3","0","2"
"","EN14825_027","1","5","3","0","2"
"","EN14825_028","0.50","4","3","0","2"
"","EN14825_028","0.90","5","3","0","2"
"","EN14825_029","1977","4","3","0","2"
"","EN14825_029","2694","5","3","0","2"
"","EN16147_001","L","0","3","0","2"
"","EN16147_002","132","0","3","0","2"
"","EN16147_003","3.30","0","3","0","2"
"","EN16147_004","1:45","0","3","0","2"
"","EN16147_005","31.0","0","3","0","2"
"","EN16147_006","52.5","0","3","0","2"
"","EN16147_007","245","0","3","0","2"
"","Refrigerant","R32","0","0","0","0"
"","Mass of Refrigerant","0,970 kg","0","0","0","0"
"","Date","09.09.2021","0","0","0","0"
"","Manufacturer"," Groupe Atlantic","0","0","0","0"
"","Modelname","Thermastage Compact Combi 03","0","0","0","0"
