"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","Star-24","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","0","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","1","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","3","0","0","0","1"
"1","offPeakProduct","2","0","0","0","1"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_001","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_4_002","2","0","10","0","2"
"1","EN14511_2_001","23.00","4","10","0","2"
"1","EN14511_2_001","22.00","5","10","0","2"
"1","EN14511_2_002","4.90","4","10","0","2"
"1","EN14511_2_002","7.12","5","10","0","2"
"1","EN14511_2_003","4.65","4","10","0","2"
"1","EN14511_2_003","3.09","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN12102_1_001","47","4","2","0","2"
"1","EN12102_1_001","47","5","2","0","2"
"1","EN12102_1_001","47","4","3","0","2"
"1","EN12102_1_001","47","5","3","0","2"
"1","EN14825_001","193","4","2","0","2"
"1","EN14825_001","150","5","2","0","2"
"1","EN14825_001","185","4","3","0","2"
"1","EN14825_001","143","5","3","0","2"
"1","EN14825_002","28.00","4","2","0","2"
"1","EN14825_002","28.00","5","2","0","2"
"1","EN14825_002","28.00","4","3","0","2"
"1","EN14825_002","28.00","5","3","0","2"
"1","EN14825_003","5.03","4","2","0","2"
"1","EN14825_003","3.95","5","2","0","2"
"1","EN14825_003","4.83","4","3","0","2"
"1","EN14825_003","3.78","5","3","0","2"
"1","EN14825_004","-16","4","2","0","2"
"1","EN14825_004","-15","5","2","0","2"
"1","EN14825_004","-6","4","3","0","2"
