"modelID","varName","value","temperature","climate","indoorUnittype","info"
"Sx2-3","title","PXZ-4F75VG + EHSD-*M*D","0","0","0","1"
"Sx2-3","application","2","0","0","0","1"
"Sx2-3","indoor","1","0","0","0","1"
"Sx2-3","outdoor","1","0","0","0","1"
"Sx2-3","coolingMode7c12c","0","0","0","0","1"
"Sx2-3","coolingMode18c23c","0","0","0","0","1"
"Sx2-3","colderClimate","0","0","0","0","1"
"Sx2-3","warmerClimate","0","0","0","0","1"
"Sx2-3","reversibility","0","0","0","0","1"
"Sx2-3","colderForHeating","0","0","0","0","1"
"Sx2-3","warmerForHeating","0","0","0","0","1"
"Sx2-3","en145112Certification","0","0","0","0","1"
"Sx2-3","heatSource","1","0","0","0","1"
"Sx2-3","additionalOutdoorAir","0","0","0","0","1"
"Sx2-3","additionalExhaustAir","0","0","0","0","1"
"Sx2-3","additionalIndoorAir","0","0","0","0","1"
"Sx2-3","additionalNonheatedSpaceAir","0","0","0","0","1"
"Sx2-3","powerSupply","1","0","0","0","1"
"Sx2-3","offPeakProduct","0","0","0","0","1"
"Sx2-3","EN14511_2_001","7.5","4","10","0","2"
"Sx2-3","EN14511_2_001","7.5","5","10","0","2"
"Sx2-3","EN14511_2_002","1.8","4","10","0","2"
"Sx2-3","EN14511_2_002","2.92","5","10","0","2"
"Sx2-3","EN14511_2_003","4.17","4","10","0","2"
"Sx2-3","EN14511_2_003","2.57","5","10","0","2"
"Sx2-3","EN14511_4_003","2","0","10","0","2"
"Sx2-3","EN14511_4_004","2","0","10","0","2"
"Sx2-3","EN14511_4_005","2","0","10","0","2"
"Sx2-3","EN14511_4_006","2","0","10","0","2"
"Sx2-3","EN12102_1_001","41","4","3","0","2"
"Sx2-3","EN12102_1_001","41","5","3","0","2"
"Sx2-3","EN12102_1_002","67","4","3","0","2"
"Sx2-3","EN12102_1_002","67","5","3","0","2"
"Sx2-3","EN14825_001","154","4","3","0","2"
"Sx2-3","EN14825_001","113","5","3","0","2"
"Sx2-3","EN14825_002","6.1","4","3","0","2"
"Sx2-3","EN14825_002","6.1","5","3","0","2"
"Sx2-3","EN14825_003","3.92","4","3","0","2"
"Sx2-3","EN14825_003","2.91","5","3","0","2"
"Sx2-3","EN14825_004","-7","4","3","0","2"
"Sx2-3","EN14825_004","-7","5","3","0","2"
"Sx2-3","EN14825_005","-20","4","3","0","2"
"Sx2-3","EN14825_005","-20","5","3","0","2"
"Sx2-3","EN14825_008","5.4","4","3","0","2"
"Sx2-3","EN14825_008","5.4","5","3","0","2"
"Sx2-3","EN14825_009","2.44","4","3","0","2"
"Sx2-3","EN14825_009","1.57","5","3","0","2"
"Sx2-3","EN14825_047","0.993","4","3","0","2"
"Sx2-3","EN14825_047","0.996","5","3","0","2"
"Sx2-3","EN14825_010","3.31","4","3","0","2"
"Sx2-3","EN14825_010","3.58","5","3","0","2"
"Sx2-3","EN14825_011","4.08","4","3","0","2"
"Sx2-3","EN14825_011","3.04","5","3","0","2"
"Sx2-3","EN14825_048","0.982","4","3","0","2"
"Sx2-3","EN14825_048","0.987","5","3","0","2"
