"modelID","varName","value","temperature","climate","indoorUnittype","info"
"2","title","PUHZ-SW100VAA(-BS) + EHSC-*M*C","0","0","0","1"
"2","application","2","0","0","0","1"
"2","indoor","1","0","0","0","1"
"2","outdoor","1","0","0","0","1"
"2","coolingMode7c12c","0","0","0","0","1"
"2","coolingMode18c23c","0","0","0","0","1"
"2","colderClimate","0","0","0","0","1"
"2","warmerClimate","0","0","0","0","1"
"2","reversibility","0","0","0","0","1"
"2","colderForHeating","0","0","0","0","1"
"2","warmerForHeating","0","0","0","0","1"
"2","en145112Certification","0","0","0","0","1"
"2","heatSource","0","0","0","0","1"
"2","additionalOutdoorAir","0","0","0","0","1"
"2","additionalExhaustAir","0","0","0","0","1"
"2","additionalIndoorAir","0","0","0","0","1"
"2","additionalNonheatedSpaceAir","0","0","0","0","1"
"2","powerSupply","1","0","0","0","1"
"2","offPeakProduct","0","0","0","0","1"
"2","EN14511_2_001","11.2","4","10","0","2"
"2","EN14511_2_001","11.2","5","10","0","2"
"2","EN14511_2_002","2.51","4","10","0","2"
"2","EN14511_2_002","4.13","5","10","0","2"
"2","EN14511_2_003","4.46","4","10","0","2"
"2","EN14511_2_003","2.71","5","10","0","2"
"2","EN14511_4_003","2","0","10","0","2"
"2","EN14511_4_004","2","0","10","0","2"
"2","EN14511_4_005","2","0","10","0","2"
"2","EN14511_4_006","2","0","10","0","2"
"2","EN12102_1_001","40","4","3","0","2"
"2","EN12102_1_001","40","5","3","0","2"
"2","EN12102_1_002","60","4","3","0","2"
"2","EN12102_1_002","60","5","3","0","2"
"2","EN14825_001","167","4","3","0","2"
"2","EN14825_001","130","5","3","0","2"
"2","EN14825_002","10.6","4","3","0","2"
"2","EN14825_002","10","5","3","0","2"
"2","EN14825_003","4.25","4","3","0","2"
"2","EN14825_003","3.33","5","3","0","2"
"2","EN14825_004","-7","4","3","0","2"
"2","EN14825_004","-7","5","3","0","2"
"2","EN14825_005","-20","4","3","0","2"
"2","EN14825_005","-20","5","3","0","2"
"2","EN14825_008","9.4","4","3","0","2"
"2","EN14825_008","8.9","5","3","0","2"
"2","EN14825_009","2.75","4","3","0","2"
"2","EN14825_009","1.95","5","3","0","2"
"2","EN14825_047","0.97","4","3","0","2"
"2","EN14825_047","0.98","5","3","0","2"
"2","EN14825_010","5.7","4","3","0","2"
"2","EN14825_010","5.4","5","3","0","2"
"2","EN14825_011","4.16","4","3","0","2"
"2","EN14825_011","3.2","5","3","0","2"
"2","EN14825_048","0.97","4","3","0","2"
"2","EN14825_048","0.98","5","3","0","2"
"2","EN14825_012","4.5","4","3","0","2"
"2","EN14825_012","4.7","5","3","0","2"
"2","EN14825_013","5.55","4","3","0","2"
"2","EN14825_013","4.79","5","3","0","2"
"2","EN14825_049","0.97","4","3","0","2"
"2","EN14825_049","0.98","5","3","0","2"
"2","EN14825_014","4.3","4","3","0","2"
"2","EN14825_014","5.3","5","3","0","2"
"2","EN14825_015","7.47","4","3","0","2"
"2","EN14825_015","6.12","5","3","0","2"
"2","EN14825_050","0.97","4","3","0","2"
"2","EN14825_050","0.98","5","3","0","2"
"2","EN14825_016","9.4","4","3","0","2"
"2","EN14825_016","8.9","5","3","0","2"
"2","EN14825_017","2.75","4","3","0","2"
"2","EN14825_017","1.95","5","3","0","2"
"2","EN14825_018","8.96","4","3","0","2"
"2","EN14825_018","8.58","5","3","0","2"
"2","EN14825_019","2.44","4","3","0","2"
"2","EN14825_019","1.84","5","3","0","2"
"2","EN14825_022","60","4","3","0","2"
"2","EN14825_022","60","5","3","0","2"
"2","EN14825_023","15","4","3","0","2"
"2","EN14825_023","15","5","3","0","2"
"2","EN14825_024","15","4","3","0","2"
"2","EN14825_024","15","5","3","0","2"
"2","EN14825_025","15","4","3","0","2"
"2","EN14825_025","15","5","3","0","2"
"2","EN14825_026","0","4","3","0","2"
"2","EN14825_026","0","5","3","0","2"
"2","EN14825_027","1","4","3","0","2"
"2","EN14825_027","1","5","3","0","2"
"2","EN14825_028","1.64","4","3","0","2"
"2","EN14825_028","1.42","5","3","0","2"
"2","EN14825_029","5156","4","3","0","2"
"2","EN14825_029","6204","5","3","0","2"
"2","EN16147_001","0","0","3","0","2"
"2","EN16147_002","0","0","3","0","2"
"2","EN16147_003","0","0","3","0","2"
"2","EN16147_004","0","0","3","0","2"
"2","EN16147_005","0","0","3","0","2"
"2","EN16147_006","0","0","3","0","2"
"2","EN16147_007","0","0","3","0","2"
"S35-5","title","PUHZ-SW100VAA(-BS) + EHSC-*M*D","0","0","0","1"
"S35-5","application","2","0","0","0","1"
"S35-5","indoor","1","0","0","0","1"
"S35-5","outdoor","1","0","0","0","1"
"S35-5","coolingMode7c12c","0","0","0","0","1"
"S35-5","coolingMode18c23c","0","0","0","0","1"
"S35-5","colderClimate","0","0","0","0","1"
"S35-5","warmerClimate","0","0","0","0","1"
"S35-5","reversibility","0","0","0","0","1"
