"modelID","varName","value","temperature","climate","indoorUnittype","info"
"S26-2","title","PUD-SWM60VAA(-BS) + E*ST30D-*M*D","0","0","0","1"
"S26-2","application","4","0","0","0","1"
"S26-2","indoor","1","0","0","0","1"
"S26-2","outdoor","1","0","0","0","1"
"S26-2","coolingMode7c12c","0","0","0","0","1"
"S26-2","coolingMode18c23c","0","0","0","0","1"
"S26-2","colderClimate","0","0","0","0","1"
"S26-2","warmerClimate","0","0","0","0","1"
"S26-2","reversibility","0","0","0","0","1"
"S26-2","colderForHeating","0","0","0","0","1"
"S26-2","warmerForHeating","0","0","0","0","1"
"S26-2","en145112Certification","0","0","0","0","1"
"S26-2","heatSource","0","0","0","0","1"
"S26-2","additionalOutdoorAir","0","0","0","0","1"
"S26-2","additionalExhaustAir","0","0","0","0","1"
"S26-2","additionalIndoorAir","0","0","0","0","1"
"S26-2","additionalNonheatedSpaceAir","0","0","0","0","1"
"S26-2","powerSupply","1","0","0","0","1"
"S26-2","offPeakProduct","0","0","0","0","1"
"S26-2","EN14511_2_001","5","4","10","0","2"
"S26-2","EN14511_2_001","5","5","10","0","2"
"S26-2","EN14511_2_002","1.05","4","10","0","2"
"S26-2","EN14511_2_002","1.89","5","10","0","2"
"S26-2","EN14511_2_003","4.76","4","10","0","2"
"S26-2","EN14511_2_003","2.65","5","10","0","2"
"S26-2","EN14511_4_003","2","0","10","0","2"
"S26-2","EN14511_4_004","2","0","10","0","2"
"S26-2","EN14511_4_005","2","0","10","0","2"
"S26-2","EN14511_4_006","2","0","10","0","2"
"S26-2","EN12102_1_001","41","4","3","0","2"
"S26-2","EN12102_1_001","41","5","3","0","2"
"S26-2","EN12102_1_002","55","4","3","0","2"
"S26-2","EN12102_1_002","55","5","3","0","2"
"S26-2","EN14825_001","175","4","3","0","2"
"S26-2","EN14825_001","130","5","3","0","2"
"S26-2","EN14825_002","6","4","3","0","2"
"S26-2","EN14825_002","6","5","3","0","2"
"S26-2","EN14825_003","4.46","4","3","0","2"
"S26-2","EN14825_003","3.33","5","3","0","2"
"S26-2","EN14825_004","-7","4","3","0","2"
"S26-2","EN14825_004","-7","5","3","0","2"
"S26-2","EN14825_005","-25","4","3","0","2"
"S26-2","EN14825_005","-25","5","3","0","2"
"S26-2","EN14825_008","5.3","4","3","0","2"
"S26-2","EN14825_008","5.3","5","3","0","2"
"S26-2","EN14825_009","3.21","4","3","0","2"
"S26-2","EN14825_009","2.09","5","3","0","2"
"S26-2","EN14825_047","0.99","4","3","0","2"
"S26-2","EN14825_047","0.99","5","3","0","2"
"S26-2","EN14825_010","4.7","4","3","0","2"
"S26-2","EN14825_010","4.3","5","3","0","2"
"S26-2","EN14825_011","4.43","4","3","0","2"
"S26-2","EN14825_011","3.17","5","3","0","2"
"S26-2","EN14825_048","0.99","4","3","0","2"
"S26-2","EN14825_048","0.99","5","3","0","2"
"S26-2","EN14825_012","5.1","4","3","0","2"
"S26-2","EN14825_012","5.3","5","3","0","2"
"S26-2","EN14825_013","5.67","4","3","0","2"
"S26-2","EN14825_013","4.77","5","3","0","2"
"S26-2","EN14825_049","0.98","4","3","0","2"
"S26-2","EN14825_049","0.99","5","3","0","2"
"S26-2","EN14825_014","3.2","4","3","0","2"
"S26-2","EN14825_014","3.1","5","3","0","2"
"S26-2","EN14825_015","7.8","4","3","0","2"
"S26-2","EN14825_015","6.74","5","3","0","2"
"S26-2","EN14825_050","0.96","4","3","0","2"
"S26-2","EN14825_050","0.97","5","3","0","2"
"S26-2","EN14825_016","5.3","4","3","0","2"
"S26-2","EN14825_016","5.3","5","3","0","2"
"S26-2","EN14825_017","3.21","4","3","0","2"
"S26-2","EN14825_017","2.09","5","3","0","2"
"S26-2","EN14825_018","5.08","4","3","0","2"
"S26-2","EN14825_018","5.07","5","3","0","2"
"S26-2","EN14825_019","2.92","4","3","0","2"
"S26-2","EN14825_019","1.98","5","3","0","2"
"S26-2","EN14825_022","60","4","3","0","2"
"S26-2","EN14825_022","60","5","3","0","2"
"S26-2","EN14825_023","15","4","3","0","2"
"S26-2","EN14825_023","15","5","3","0","2"
"S26-2","EN14825_024","15","4","3","0","2"
"S26-2","EN14825_024","15","5","3","0","2"
"S26-2","EN14825_025","15","4","3","0","2"
"S26-2","EN14825_025","15","5","3","0","2"
"S26-2","EN14825_026","0","4","3","0","2"
"S26-2","EN14825_026","0","5","3","0","2"
"S26-2","EN14825_027","1","4","3","0","2"
"S26-2","EN14825_027","1","5","3","0","2"
"S26-2","EN14825_028","0.92","4","3","0","2"
"S26-2","EN14825_028","0.93","5","3","0","2"
"S26-2","EN14825_029","2780","4","3","0","2"
"S26-2","EN14825_029","3722","5","3","0","2"
"S26-2","EN16147_001","XL","0","3","0","2"
"S26-2","EN16147_002","121","0","3","0","2"
"S26-2","EN16147_003","2.93","0","3","0","2"
"S26-2","EN16147_004","02:49","0","3","0","2"
"S26-2","EN16147_005","39","0","3","0","2"
"S26-2","EN16147_006","52.5","0","3","0","2"
"S26-2","EN16147_007","417","0","3","0","2"
"S26-1","title","PUD-SWM60VAA(-BS) + E*ST30D-M*D","0","0","0","1"
"S26-1","application","4","0","0","0","1"
"S26-1","indoor","1","0","0","0","1"
"S26-1","outdoor","1","0","0","0","1"
"S26-1","coolingMode7c12c","0","0","0","0","1"
"S26-1","coolingMode18c23c","0","0","0","0","1"
"S26-1","colderClimate","0","0","0","0","1"
"S26-1","warmerClimate","0","0","0","0","1"
"S26-1","reversibility","0","0","0","0","1"
"S26-1","colderForHeating","0","0","0","0","1"
"S26-1","warmerForHeating","0","0","0","0","1"
"S26-1","en145112Certification","0","0","0","0","1"
"S26-1","heatSource","0","0","0","0","1"
"S26-1","additionalOutdoorAir","0","0","0","0","1"
"S26-1","additionalExhaustAir","0","0","0","0","1"
"S26-1","additionalIndoorAir","0","0","0","0","1"
"S26-1","additionalNonheatedSpaceAir","0","0","0","0","1"
"S26-1","powerSupply","1","0","0","0","1"
"S26-1","offPeakProduct","0","0","0","0","1"
"S26-1","EN14511_2_001","5","4","10","0","2"
"S26-1","EN14511_2_001","5","5","10","0","2"
"S26-1","EN14511_2_002","1.05","4","10","0","2"
"S26-1","EN14511_2_002","1.89","5","10","0","2"
"S26-1","EN14511_2_003","4.76","4","10","0","2"
"S26-1","EN14511_2_003","2.65","5","10","0","2"
"S26-1","EN14511_4_003","2","0","10","0","2"
"S26-1","EN14511_4_004","2","0","10","0","2"
"S26-1","EN14511_4_005","2","0","10","0","2"
"S26-1","EN14511_4_006","2","0","10","0","2"
"S26-1","EN12102_1_001","41","4","3","0","2"
"S26-1","EN12102_1_001","41","5","3","0","2"
"S26-1","EN12102_1_002","55","4","3","0","2"
"S26-1","EN12102_1_002","55","5","3","0","2"
"S26-1","EN14825_001","175","4","3","0","2"
"S26-1","EN14825_001","130","5","3","0","2"
"S26-1","EN14825_002","6","4","3","0","2"
"S26-1","EN14825_002","6","5","3","0","2"
"S26-1","EN14825_003","4.46","4","3","0","2"
"S26-1","EN14825_003","3.33","5","3","0","2"
"S26-1","EN14825_004","-7","4","3","0","2"
"S26-1","EN14825_004","-7","5","3","0","2"
"S26-1","EN14825_005","-25","4","3","0","2"
