"modelID","varName","value","temperature","climate","indoorUnittype","info"
"model-193","title","F1145-17","0","0","0","1"
"model-193","application","2","0","0","0","1"
"model-193","indoor","1","0","0","0","1"
"model-193","outdoor","0","0","0","0","1"
"model-193","coolingMode7c12c","0","0","0","0","1"
"model-193","coolingMode18c23c","0","0","0","0","1"
"model-193","colderClimate","1","0","0","0","1"
"model-193","warmerClimate","0","0","0","0","1"
"model-193","reversibility","0","0","0","0","1"
"model-193","colderForHeating","0","0","0","0","1"
"model-193","warmerForHeating","0","0","0","0","1"
"model-193","en145112Certification","0","0","0","0","1"
"model-193","heatSource","0","0","0","0","1"
"model-193","additionalOutdoorAir","0","0","0","0","1"
"model-193","additionalExhaustAir","0","0","0","0","1"
"model-193","additionalIndoorAir","0","0","0","0","1"
"model-193","additionalNonheatedSpaceAir","0","0","0","0","1"
"model-193","powerSupply","3","0","0","0","1"
"model-193","offPeakProduct","2","0","0","0","1"
"model-193","EN14511_4_001","2","0","10","0","2"
"model-193","EN14511_4_001","2","0","10","0","2"
"model-193","EN14511_4_002","2","0","10","0","2"
"model-193","EN14511_4_002","2","0","10","0","2"
"model-193","EN14511_2_001","16.89","4","10","0","2"
"model-193","EN14511_2_001","16.10","5","10","0","2"
"model-193","EN14511_2_002","4.10","4","10","0","2"
"model-193","EN14511_2_002","5.38","5","10","0","2"
"model-193","EN14511_2_003","4.12","4","10","0","2"
"model-193","EN14511_2_003","2.99","5","10","0","2"
"model-193","EN14511_4_003","2","0","10","0","2"
"model-193","EN14511_4_003","2","0","10","0","2"
"model-193","EN14511_4_004","2","0","10","0","2"
"model-193","EN14511_4_004","2","0","10","0","2"
"model-193","EN12102_1_001","43","4","2","0","2"
"model-193","EN12102_1_001","43","5","2","0","2"
"model-193","EN12102_1_001","43","4","3","0","2"
"model-193","EN12102_1_001","43","5","3","0","2"
"model-193","EN14825_001","171","4","2","0","2"
"model-193","EN14825_001","140","5","2","0","2"
"model-193","EN14825_001","166","4","3","0","2"
"model-193","EN14825_001","137","5","3","0","2"
"model-193","EN14825_002","20.00","4","2","0","2"
"model-193","EN14825_002","20.00","5","2","0","2"
"model-193","EN14825_002","20.00","4","3","0","2"
"model-193","EN14825_002","20.00","5","3","0","2"
"model-193","EN14825_003","4.47","4","2","0","2"
