"modelID","varName","value","temperature","climate","indoorUnittype","info"
"model-221","title","F1145-8 3x400","0","0","0","1"
"model-221","application","2","0","0","0","1"
"model-221","indoor","1","0","0","0","1"
"model-221","outdoor","0","0","0","0","1"
"model-221","coolingMode7c12c","0","0","0","0","1"
"model-221","coolingMode18c23c","0","0","0","0","1"
"model-221","colderClimate","1","0","0","0","1"
"model-221","warmerClimate","0","0","0","0","1"
"model-221","reversibility","0","0","0","0","1"
"model-221","colderForHeating","0","0","0","0","1"
"model-221","warmerForHeating","0","0","0","0","1"
"model-221","en145112Certification","0","0","0","0","1"
"model-221","heatSource","0","0","0","0","1"
"model-221","additionalOutdoorAir","0","0","0","0","1"
"model-221","additionalExhaustAir","0","0","0","0","1"
"model-221","additionalIndoorAir","0","0","0","0","1"
"model-221","additionalNonheatedSpaceAir","0","0","0","0","1"
"model-221","powerSupply","3","0","0","0","1"
"model-221","offPeakProduct","2","0","0","0","1"
"model-221","EN14511_4_001","2","0","10","0","2"
"model-221","EN14511_4_001","2","0","10","0","2"
"model-221","EN14511_4_002","2","0","10","0","2"
"model-221","EN14511_4_002","2","0","10","0","2"
"model-221","EN14511_2_001","8.01","4","10","0","2"
"model-221","EN14511_2_001","6.36","5","10","0","2"
"model-221","EN14511_2_002","1.74","4","10","0","2"
"model-221","EN14511_2_002","2.06","5","10","0","2"
"model-221","EN14511_2_003","4.60","4","10","0","2"
"model-221","EN14511_2_003","3.09","5","10","0","2"
"model-221","EN14511_4_003","2","0","10","0","2"
"model-221","EN14511_4_003","2","0","10","0","2"
"model-221","EN14511_4_004","2","0","10","0","2"
"model-221","EN14511_4_004","2","0","10","0","2"
"model-221","EN12102_1_001","45","4","2","0","2"
"model-221","EN12102_1_001","45","5","2","0","2"
"model-221","EN12102_1_001","45","4","3","0","2"
"model-221","EN12102_1_001","45","5","3","0","2"
"model-221","EN14825_001","194","4","2","0","2"
"model-221","EN14825_001","145","5","2","0","2"
"model-221","EN14825_001","188","4","3","0","2"
"model-221","EN14825_001","141","5","3","0","2"
"model-221","EN14825_002","9.00","4","2","0","2"
"model-221","EN14825_002","8.00","5","2","0","2"
"model-221","EN14825_002","9.00","4","3","0","2"
"model-221","EN14825_002","8.00","5","3","0","2"
"model-221","EN14825_003","5.05","4","2","0","2"
"model-221","EN14825_003","3.83","5","2","0","2"
"model-221","EN14825_003","4.90","4","3","0","2"
"model-221","EN14825_003","3.73","5","3","0","2"
"model-221","EN14825_004","-17","4","2","0","2"
"model-221","EN14825_004","-15","5","2","0","2"
"model-221","EN14825_004","-7","4","3","0","2"
"model-221","EN14825_004","-5","5","3","0","2"
"model-221","EN14825_005","-22","4","2","0","2"
"model-221","EN14825_005","-22","5","2","0","2"
"model-221","EN14825_005","-10","4","3","0","2"
"model-221","EN14825_005","-10","5","3","0","2"
"model-221","EN14825_008","8.00","4","2","0","2"
"model-221","EN14825_008","6.70","5","2","0","2"
"model-221","EN14825_008","7.80","4","3","0","2"
"model-221","EN14825_008","6.20","5","3","0","2"
"model-221","EN14825_009","5.06","4","2","0","2"
"model-221","EN14825_009","3.71","5","2","0","2"
"model-221","EN14825_009","4.79","4","3","0","2"
"model-221","EN14825_009","3.28","5","3","0","2"
"model-221","EN14825_010","8.20","4","2","0","2"
"model-221","EN14825_010","7.10","5","2","0","2"
"model-221","EN14825_010","8.00","4","3","0","2"
"model-221","EN14825_010","6.90","5","3","0","2"
"model-221","EN14825_011","5.20","4","2","0","2"
"model-221","EN14825_011","4.07","5","2","0","2"
"model-221","EN14825_011","4.99","4","3","0","2"
"model-221","EN14825_011","3.81","5","3","0","2"
"model-221","EN14825_012","8.30","4","2","0","2"
"model-221","EN14825_012","7.50","5","2","0","2"
"model-221","EN14825_012","8.20","4","3","0","2"
"model-221","EN14825_012","7.20","5","3","0","2"
"model-221","EN14825_013","5.26","4","2","0","2"
"model-221","EN14825_013","4.36","5","2","0","2"
"model-221","EN14825_013","5.17","4","3","0","2"
"model-221","EN14825_013","4.13","5","3","0","2"
"model-221","EN14825_014","8.30","4","2","0","2"
"model-221","EN14825_014","7.70","5","2","0","2"
"model-221","EN14825_014","8.30","4","3","0","2"
"model-221","EN14825_014","7.60","5","3","0","2"
"model-221","EN14825_015","5.06","4","2","0","2"
"model-221","EN14825_015","4.45","5","2","0","2"
"model-221","EN14825_015","5.23","4","3","0","2"
"model-221","EN14825_015","4.41","5","3","0","2"
"model-221","EN14825_016","7.80","4","2","0","2"
"model-221","EN14825_016","6.40","5","2","0","2"
"model-221","EN14825_016","7.80","4","3","0","2"
"model-221","EN14825_016","6.40","5","3","0","2"
"model-221","EN14825_017","4.56","4","2","0","2"
"model-221","EN14825_017","3.46","5","2","0","2"
"model-221","EN14825_017","4.81","4","3","0","2"
"model-221","EN14825_017","3.44","5","3","0","2"
"model-221","EN14825_018","7.70","4","2","0","2"
"model-221","EN14825_018","5.90","5","2","0","2"
"model-221","EN14825_018","7.70","4","3","0","2"
"model-221","EN14825_018","5.90","5","3","0","2"
"model-221","EN14825_019","4.67","4","2","0","2"
"model-221","EN14825_019","3.07","5","2","0","2"
"model-221","EN14825_019","4.67","4","3","0","2"
"model-221","EN14825_019","3.07","5","3","0","2"
"model-221","EN14825_021","0.99","4","2","0","2"
"model-221","EN14825_021","0.99","5","2","0","2"
"model-221","EN14825_021","0.99","4","3","0","2"
"model-221","EN14825_021","0.99","5","3","0","2"
"model-221","EN14825_022","65","4","2","0","2"
"model-221","EN14825_022","65","5","2","0","2"
"model-221","EN14825_022","65","4","3","0","2"
"model-221","EN14825_022","65","5","3","0","2"
"model-221","EN14825_023","2","4","2","0","2"
"model-221","EN14825_023","2","5","2","0","2"
