"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","WH-ADC0309J3E5 / WH-UD07JE5","0","0","0","1"
"1","application","4","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","1","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","0","0","0","0","1"
"1","warmerClimate","0","0","0","0","1"
"1","reversibility","1","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","1","0","0","0","1"
"1","offPeakProduct","0","0","0","0","1"
"1","EN14511_2_001","7.00","4","10","0","2"
"1","EN14511_2_001","7.00","5","10","0","2"
"1","EN14511_2_002","1.47","4","10","0","2"
"1","EN14511_2_002","2.48","5","10","0","2"
"1","EN14511_2_003","4.76","4","10","0","2"
"1","EN14511_2_003","2.82","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_001","41","4","3","0","2"
"1","EN12102_1_001","41","5","3","0","2"
"1","EN12102_1_002","59","4","3","0","2"
"1","EN12102_1_002","59","5","3","0","2"
"1","EN14825_001","193","4","3","0","2"
"1","EN14825_001","130","5","3","0","2"
"1","EN14825_002","6.00","4","3","0","2"
"1","EN14825_002","7.00","5","3","0","2"
"1","EN14825_003","4.90","4","3","0","2"
"1","EN14825_003","3.32","5","3","0","2"
"1","EN14825_004","-10","4","3","0","2"
"1","EN14825_004","-7","5","3","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","5.30","4","3","0","2"
"1","EN14825_008","6.30","5","3","0","2"
"1","EN14825_009","3.04","4","3","0","2"
"1","EN14825_009","1.86","5","3","0","2"
"1","EN14825_047","0.970","4","3","0","2"
"1","EN14825_047","0.990","5","3","0","2"
"1","EN14825_010","3.20","4","3","0","2"
"1","EN14825_010","3.80","5","3","0","2"
"1","EN14825_011","4.96","4","3","0","2"
"1","EN14825_011","3.33","5","3","0","2"
"1","EN14825_048","0.930","4","3","0","2"
"1","EN14825_048","0.960","5","3","0","2"
"1","EN14825_012","2.90","4","3","0","2"
"1","EN14825_012","2.70","5","3","0","2"
"1","EN14825_013","6.50","4","3","0","2"
"1","EN14825_013","4.52","5","3","0","2"
"1","EN14825_049","0.900","4","3","0","2"
"1","EN14825_049","0.920","5","3","0","2"
"1","EN14825_014","3.40","4","3","0","2"
"1","EN14825_014","3.30","5","3","0","2"
"1","EN14825_015","8.42","4","3","0","2"
"1","EN14825_015","6.26","5","3","0","2"
"1","EN14825_050","0.890","4","3","0","2"
"1","EN14825_050","0.910","5","3","0","2"
"1","EN14825_016","6.00","4","3","0","2"
"1","EN14825_016","6.20","5","3","0","2"
"1","EN14825_017","2.95","4","3","0","2"
"1","EN14825_017","1.86","5","3","0","2"
"1","EN14825_018","6.00","4","3","0","2"
"1","EN14825_018","6.20","5","3","0","2"
"1","EN14825_019","2.95","4","3","0","2"
"1","EN14825_019","1.70","5","3","0","2"
"1","EN14825_022","55","4","3","0","2"
"1","EN14825_022","55","5","3","0","2"
"1","EN14825_023","2","4","3","0","2"
"1","EN14825_023","2","5","3","0","2"
"1","EN14825_024","44","4","3","0","2"
"1","EN14825_024","44","5","3","0","2"
"1","EN14825_025","10","4","3","0","2"
"1","EN14825_025","10","5","3","0","2"
"1","EN14825_026","10","4","3","0","2"
"1","EN14825_026","10","5","3","0","2"
"1","EN14825_027","1","4","3","0","2"
"1","EN14825_027","1","5","3","0","2"
"1","EN14825_028","0.00","4","3","0","2"
"1","EN14825_028","0.80","5","3","0","2"
"1","EN14825_029","2532","4","3","0","2"
"1","EN14825_029","4354","5","3","0","2"
"1","EN16147_001","L","0","3","0","2"
"1","EN16147_002","120","0","3","0","2"
"1","EN16147_003","3.00","0","3","0","2"
"1","EN16147_004","1:22","0","3","0","2"
"1","EN16147_005","31.0","0","3","0","2"
"1","EN16147_006","52.3","0","3","0","2"
"1","EN16147_007","234","0","3","0","2"
"3","title","WH-ADC0309J3E5AN / WH-UD07JE5","0","0","0","1"
"3","application","4","0","0","0","1"
"3","indoor","1","0","0","0","1"
"3","outdoor","1","0","0","0","1"
"3","coolingMode7c12c","0","0","0","0","1"
"3","coolingMode18c23c","0","0","0","0","1"
"3","colderClimate","0","0","0","0","1"
"3","warmerClimate","0","0","0","0","1"
"3","reversibility","1","0","0","0","1"
"3","colderForHeating","0","0","0","0","1"
"3","warmerForHeating","0","0","0","0","1"
"3","en145112Certification","0","0","0","0","1"
"3","heatSource","0","0","0","0","1"
"3","additionalOutdoorAir","0","0","0","0","1"
"3","additionalExhaustAir","0","0","0","0","1"
"3","additionalIndoorAir","0","0","0","0","1"
"3","additionalNonheatedSpaceAir","0","0","0","0","1"
"3","powerSupply","1","0","0","0","1"
"3","offPeakProduct","0","0","0","0","1"
"3","EN14511_2_001","7.00","4","10","0","2"
"3","EN14511_2_001","7.00","4","10","0","2"
"3","EN14511_2_001","7.00","5","10","0","2"
"3","EN14511_2_001","7.00","5","10","0","2"
"3","EN14511_2_002","1.47","4","10","0","2"
"3","EN14511_2_002","2.48","5","10","0","2"
"3","EN14511_2_003","4.76","4","10","0","2"
"3","EN14511_2_003","2.82","5","10","0","2"
"3","EN14511_4_003","2","0","10","0","2"
"3","EN14511_4_004","2","0","10","0","2"
"3","EN14511_4_005","2","0","10","0","2"
"3","EN14511_4_006","2","0","10","0","2"
"3","EN12102_1_001","41","4","3","0","2"
"3","EN12102_1_001","41","5","3","0","2"
"3","EN12102_1_002","59","4","3","0","2"
"3","EN12102_1_002","59","5","3","0","2"
"3","EN14825_001","193","4","3","0","2"
"3","EN14825_001","130","5","3","0","2"
"3","EN14825_002","6.00","4","3","0","2"
"3","EN14825_002","7.00","5","3","0","2"
"3","EN14825_003","4.90","4","3","0","2"
"3","EN14825_003","3.32","5","3","0","2"
"3","EN14825_004","-10","4","3","0","2"
"3","EN14825_004","-7","5","3","0","2"
"3","EN14825_005","-10","4","3","0","2"
"3","EN14825_005","-10","5","3","0","2"
"3","EN14825_008","5.30","4","3","0","2"
"3","EN14825_008","6.30","5","3","0","2"
"3","EN14825_009","3.04","4","3","0","2"
"3","EN14825_009","1.86","5","3","0","2"
"3","EN14825_047","0.970","4","3","0","2"
"3","EN14825_047","0.990","5","3","0","2"
"3","EN14825_010","3.20","4","3","0","2"
"3","EN14825_010","3.80","5","3","0","2"
"3","EN14825_011","4.96","4","3","0","2"
"3","EN14825_011","3.33","5","3","0","2"
"3","EN14825_048","0.930","4","3","0","2"
"3","EN14825_048","0.960","5","3","0","2"
"3","EN14825_012","2.90","4","3","0","2"
"3","EN14825_012","2.70","5","3","0","2"
"3","EN14825_013","6.50","4","3","0","2"
"3","EN14825_013","4.52","5","3","0","2"
"3","EN14825_049","0.900","4","3","0","2"
"3","EN14825_049","0.920","5","3","0","2"
"3","EN14825_014","3.40","4","3","0","2"
"3","EN14825_014","3.30","5","3","0","2"
"3","EN14825_015","8.42","4","3","0","2"
"3","EN14825_015","6.26","5","3","0","2"
"3","EN14825_050","0.890","4","3","0","2"
"3","EN14825_050","0.910","5","3","0","2"
"3","EN14825_016","6.00","4","3","0","2"
"3","EN14825_016","6.20","5","3","0","2"
"3","EN14825_017","2.95","4","3","0","2"
"3","EN14825_017","1.86","5","3","0","2"
"3","EN14825_018","6.00","4","3","0","2"
"3","EN14825_018","6.20","5","3","0","2"
"3","EN14825_019","2.95","4","3","0","2"
"3","EN14825_019","1.70","5","3","0","2"
"3","EN14825_022","55","4","3","0","2"
"3","EN14825_022","55","5","3","0","2"
"3","EN14825_023","2","4","3","0","2"
"3","EN14825_023","2","5","3","0","2"
"3","EN14825_024","44","4","3","0","2"
"3","EN14825_024","44","5","3","0","2"
"3","EN14825_025","10","4","3","0","2"
"3","EN14825_025","10","5","3","0","2"
"3","EN14825_026","10","4","3","0","2"
"3","EN14825_026","10","5","3","0","2"
"3","EN14825_027","1","4","3","0","2"
"3","EN14825_027","1","5","3","0","2"
"3","EN14825_028","0.00","4","3","0","2"
"3","EN14825_028","0.80","5","3","0","2"
"3","EN14825_029","2532","4","3","0","2"
"3","EN14825_029","4354","5","3","0","2"
"3","EN16147_001","L","0","3","0","2"
"3","EN16147_002","120","0","3","0","2"
"3","EN16147_003","3.00","0","3","0","2"
"3","EN16147_004","1:22","0","3","0","2"
"3","EN16147_005","31.0","0","3","0","2"
"3","EN16147_006","52.3","0","3","0","2"
"3","EN16147_007","234","0","3","0","2"
"7","title","WH-ADC0309J3E5ANC / WH-UD07JE5","0","0","0","1"
"7","application","4","0","0","0","1"
"7","indoor","1","0","0","0","1"
"7","outdoor","1","0","0","0","1"
"7","coolingMode7c12c","0","0","0","0","1"
"7","coolingMode18c23c","0","0","0","0","1"
"7","colderClimate","0","0","0","0","1"
"7","warmerClimate","0","0","0","0","1"
"7","reversibility","1","0","0","0","1"
"7","colderForHeating","0","0","0","0","1"
"7","warmerForHeating","0","0","0","0","1"
"7","en145112Certification","0","0","0","0","1"
"7","heatSource","0","0","0","0","1"
"7","additionalOutdoorAir","0","0","0","0","1"
"7","additionalExhaustAir","0","0","0","0","1"
"7","additionalIndoorAir","0","0","0","0","1"
"7","additionalNonheatedSpaceAir","0","0","0","0","1"
"7","powerSupply","1","0","0","0","1"
"7","offPeakProduct","0","0","0","0","1"
"7","EN14511_2_001","7.00","4","10","0","2"
"7","EN14511_2_001","7.00","5","10","0","2"
"7","EN14511_2_002","1.47","4","10","0","2"
"7","EN14511_2_002","2.48","5","10","0","2"
"7","EN14511_2_003","4.76","4","10","0","2"
"7","EN14511_2_003","2.82","5","10","0","2"
"7","EN14511_4_003","2","0","10","0","2"
"7","EN14511_4_004","2","0","10","0","2"
"7","EN14511_4_005","2","0","10","0","2"
"7","EN14511_4_006","2","0","10","0","2"
"7","EN12102_1_001","41","4","3","0","2"
"7","EN12102_1_001","41","5","3","0","2"
"7","EN12102_1_002","59","4","3","0","2"
