"modelID","varName","value","temperature","climate","indoorUnittype","info"
"1","title","HPG-I 12 (D)(C)S Premium","0","0","0","1"
"1","application","2","0","0","0","1"
"1","indoor","1","0","0","0","1"
"1","outdoor","0","0","0","0","1"
"1","coolingMode7c12c","0","0","0","0","1"
"1","coolingMode18c23c","0","0","0","0","1"
"1","colderClimate","1","0","0","0","1"
"1","warmerClimate","1","0","0","0","1"
"1","reversibility","0","0","0","0","1"
"1","colderForHeating","0","0","0","0","1"
"1","warmerForHeating","0","0","0","0","1"
"1","en145112Certification","0","0","0","0","1"
"1","heatSource","0","0","0","0","1"
"1","additionalOutdoorAir","0","0","0","0","1"
"1","additionalExhaustAir","0","0","0","0","1"
"1","additionalIndoorAir","0","0","0","0","1"
"1","additionalNonheatedSpaceAir","0","0","0","0","1"
"1","powerSupply","3","0","0","0","1"
"1","offPeakProduct","2","0","0","0","1"
"1","EN14511_2_001","4.19","4","10","0","2"
"1","EN14511_2_001","4.20","5","10","0","2"
"1","EN14511_2_002","0.84","4","10","0","2"
"1","EN14511_2_002","1.34","5","10","0","2"
"1","EN14511_2_003","5.01","4","10","0","2"
"1","EN14511_2_003","3.13","5","10","0","2"
"1","EN14511_4_003","2","0","10","0","2"
"1","EN14511_4_004","2","0","10","0","2"
"1","EN14511_4_005","2","0","10","0","2"
"1","EN14511_4_006","2","0","10","0","2"
"1","EN12102_1_001","39","4","1","0","2"
"1","EN12102_1_001","39","5","1","0","2"
"1","EN12102_1_001","39","4","2","0","2"
"1","EN12102_1_001","39","5","2","0","2"
"1","EN12102_1_001","39","4","3","0","2"
"1","EN12102_1_001","39","5","3","0","2"
"1","EN14825_001","214","4","1","0","2"
"1","EN14825_001","168","5","1","0","2"
"1","EN14825_001","224","4","2","0","2"
"1","EN14825_001","174","5","2","0","2"
"1","EN14825_001","216","4","3","0","2"
"1","EN14825_001","169","5","3","0","2"
"1","EN14825_002","12.03","4","1","0","2"
"1","EN14825_002","11.99","5","1","0","2"
"1","EN14825_002","12.03","4","2","0","2"
"1","EN14825_002","11.99","5","2","0","2"
"1","EN14825_002","12.03","4","3","0","2"
"1","EN14825_002","11.99","5","3","0","2"
"1","EN14825_003","5.55","4","1","0","2"
"1","EN14825_003","4.39","5","1","0","2"
"1","EN14825_003","5.80","4","2","0","2"
"1","EN14825_003","4.56","5","2","0","2"
"1","EN14825_003","5.59","4","3","0","2"
"1","EN14825_003","4.42","5","3","0","2"
"1","EN14825_004","2","4","1","0","2"
"1","EN14825_004","2","5","1","0","2"
"1","EN14825_004","-22","4","2","0","2"
"1","EN14825_004","-22","5","2","0","2"
"1","EN14825_004","-10","4","3","0","2"
"1","EN14825_004","-10","5","3","0","2"
"1","EN14825_005","2","4","1","0","2"
"1","EN14825_005","2","5","1","0","2"
"1","EN14825_005","-22","4","2","0","2"
"1","EN14825_005","-22","5","2","0","2"
"1","EN14825_005","-10","4","3","0","2"
"1","EN14825_005","-10","5","3","0","2"
"1","EN14825_008","7.26","4","2","0","2"
"1","EN14825_008","7.24","5","2","0","2"
"1","EN14825_008","10.61","4","3","0","2"
"1","EN14825_008","10.59","5","3","0","2"
"1","EN14825_009","5.69","4","2","0","2"
"1","EN14825_009","4.31","5","2","0","2"
"1","EN14825_009","4.81","4","3","0","2"
"1","EN14825_009","3.55","5","3","0","2"
"1","EN14825_047","0.90","4","2","0","2"
"1","EN14825_047","0.90","5","2","0","2"
"1","EN14825_047","0.90","4","3","0","2"
"1","EN14825_047","0.90","5","3","0","2"
"1","EN14825_010","12.03","4","1","0","2"
"1","EN14825_010","11.99","5","1","0","2"
"1","EN14825_010","4.41","4","2","0","2"
"1","EN14825_010","4.40","5","2","0","2"
"1","EN14825_010","6.45","4","3","0","2"
"1","EN14825_010","6.44","5","3","0","2"
"1","EN14825_011","4.53","4","1","0","2"
"1","EN14825_011","3.29","5","1","0","2"
"1","EN14825_011","6.16","4","2","0","2"
"1","EN14825_011","4.91","5","2","0","2"
"1","EN14825_011","5.72","4","3","0","2"
"1","EN14825_011","4.49","5","3","0","2"
"1","EN14825_048","0.90","4","1","0","2"
"1","EN14825_048","0.90","5","1","0","2"
"1","EN14825_048","0.90","4","2","0","2"
"1","EN14825_048","0.90","5","2","0","2"
"1","EN14825_048","0.90","4","3","0","2"
"1","EN14825_048","0.90","5","3","0","2"
"1","EN14825_012","7.71","4","1","0","2"
"1","EN14825_012","7.69","5","1","0","2"
"1","EN14825_012","2.82","4","2","0","2"
"1","EN14825_012","2.82","5","2","0","2"
"1","EN14825_012","4.14","4","3","0","2"
"1","EN14825_012","4.13","5","3","0","2"
"1","EN14825_013","5.51","4","1","0","2"
"1","EN14825_013","4.12","5","1","0","2"
"1","EN14825_013","6.19","4","2","0","2"
"1","EN14825_013","5.16","5","2","0","2"
"1","EN14825_013","6.12","4","3","0","2"
"1","EN14825_013","4.99","5","3","0","2"
"1","EN14825_049","0.90","4","1","0","2"
"1","EN14825_049","0.90","5","1","0","2"
"1","EN14825_049","0.90","4","2","0","2"
"1","EN14825_049","0.90","5","2","0","2"
"1","EN14825_049","0.90","4","3","0","2"
"1","EN14825_049","0.90","5","3","0","2"
"1","EN14825_014","3.41","4","1","0","2"
"1","EN14825_014","3.41","5","1","0","2"
"1","EN14825_014","2.29","4","2","0","2"
"1","EN14825_014","2.23","5","2","0","2"
"1","EN14825_014","2.30","4","3","0","2"
"1","EN14825_014","2.21","5","3","0","2"
"1","EN14825_015","6.14","4","1","0","2"
"1","EN14825_015","5.10","5","1","0","2"
"1","EN14825_015","6.12","4","2","0","2"
"1","EN14825_015","5.40","5","2","0","2"
"1","EN14825_015","6.29","4","3","0","2"
"1","EN14825_015","5.25","5","3","0","2"
"1","EN14825_050","0.90","4","1","0","2"
"1","EN14825_050","0.90","5","1","0","2"
"1","EN14825_050","0.90","4","2","0","2"
"1","EN14825_050","0.90","5","2","0","2"
"1","EN14825_050","0.90","4","3","0","2"
"1","EN14825_050","0.90","5","3","0","2"
"1","EN14825_016","12.03","4","1","0","2"
"1","EN14825_016","11.99","5","1","0","2"
"1","EN14825_016","12.03","4","2","0","2"
"1","EN14825_016","11.99","5","2","0","2"
"1","EN14825_016","12.03","4","3","0","2"
"1","EN14825_016","11.99","5","3","0","2"
"1","EN14825_017","4.53","4","1","0","2"
"1","EN14825_017","3.29","5","1","0","2"
"1","EN14825_017","4.53","4","2","0","2"
"1","EN14825_017","3.29","5","2","0","2"
