"modelID","varName","value","temperature","climate","indoorUnittype","info"
"204630","title","Thermia Legend 17 Duo 400V","0","0","0","1"
"204630","application","2","0","0","0","1"
"204630","indoor","1","0","0","0","1"
"204630","outdoor","0","0","0","0","1"
"204630","coolingMode7c12c","0","0","0","0","1"
"204630","coolingMode18c23c","0","0","0","0","1"
"204630","colderClimate","1","0","0","0","1"
"204630","warmerClimate","1","0","0","0","1"
"204630","reversibility","0","0","0","0","1"
"204630","colderForHeating","1","0","0","0","1"
"204630","warmerForHeating","1","0","0","0","1"
"204630","en145112Certification","0","0","0","0","1"
"204630","heatSource","0","0","0","0","1"
"204630","additionalOutdoorAir","0","0","0","0","1"
"204630","additionalExhaustAir","0","0","0","0","1"
"204630","additionalIndoorAir","0","0","0","0","1"
"204630","additionalNonheatedSpaceAir","0","0","0","0","1"
"204630","powerSupply","3","0","0","0","1"
"204630","offPeakProduct","1","0","0","0","1"
"204630","EN14511_2_001","20.95","4","10","0","2"
"204630","EN14511_2_001","16.69","4","10","0","2"
"204630","EN14511_2_001","20.68","5","10","0","2"
"204630","EN14511_2_001","15.10","5","10","0","2"
"204630","EN14511_2_002","3.95","4","10","0","2"
"204630","EN14511_2_002","3.77","4","10","0","2"
"204630","EN14511_2_002","5.61","5","10","0","2"
"204630","EN14511_2_002","5.29","5","10","0","2"
"204630","EN14511_2_003","5.31","4","10","0","2"
"204630","EN14511_2_003","4.43","4","10","0","2"
"204630","EN14511_2_003","3.68","5","10","0","2"
"204630","EN14511_2_003","2.85","5","10","0","2"
"204630","EN14511_4_003","2","0","10","0","2"
"204630","EN14511_4_003","2","0","10","0","2"
"204630","EN14511_4_004","2","0","10","0","2"
"204630","EN14511_4_004","2","0","10","0","2"
"204630","EN14511_4_006","2","0","10","0","2"
"204630","EN14511_4_006","2","0","10","0","2"
"204630","EN12102_1_001","45","4","1","0","2"
"204630","EN12102_1_001","46","5","1","0","2"
"204630","EN12102_1_001","45","4","2","0","2"
"204630","EN12102_1_001","46","5","2","0","2"
"204630","EN12102_1_001","45","4","3","0","2"
"204630","EN12102_1_001","46","5","3","0","2"
"204630","EN14825_001","185","4","1","0","2"
"204630","EN14825_001","213","4","1","0","2"
"204630","EN14825_001","141","5","1","0","2"
"204630","EN14825_001","179","5","1","0","2"
"204630","EN14825_001","189","4","2","0","2"
"204630","EN14825_001","215","4","2","0","2"
"204630","EN14825_001","144","5","2","0","2"
"204630","EN14825_001","182","5","2","0","2"
"204630","EN14825_001","184","4","3","0","2"
"204630","EN14825_001","213","4","3","0","2"
"204630","EN14825_001","140","5","3","0","2"
"204630","EN14825_001","178","5","3","0","2"
"204630","EN14825_002","19.67","4","1","0","2"
"204630","EN14825_002","22.45","4","1","0","2"
"204630","EN14825_002","18.61","5","1","0","2"
"204630","EN14825_002","24.49","5","1","0","2"
"204630","EN14825_002","18.86","4","2","0","2"
"204630","EN14825_002","22.57","4","2","0","2"
