"modelID","varName","value","temperature","climate","indoorUnittype","info"
"ID_VWL 37/5 230V","title","VWL 37/5 230V","0","0","0","1"
"ID_VWL 37/5 230V","application","2","0","0","0","1"
"ID_VWL 37/5 230V","indoor","1","0","0","0","1"
"ID_VWL 37/5 230V","outdoor","0","0","0","0","1"
"ID_VWL 37/5 230V","coolingMode7c12c","0","0","0","0","1"
"ID_VWL 37/5 230V","coolingMode18c23c","0","0","0","0","1"
"ID_VWL 37/5 230V","colderClimate","1","0","0","0","1"
"ID_VWL 37/5 230V","warmerClimate","1","0","0","0","1"
"ID_VWL 37/5 230V","reversibility","1","0","0","0","1"
"ID_VWL 37/5 230V","colderForHeating","0","0","0","0","1"
"ID_VWL 37/5 230V","warmerForHeating","0","0","0","0","1"
"ID_VWL 37/5 230V","en145112Certification","0","0","0","0","1"
"ID_VWL 37/5 230V","heatSource","0","0","0","0","1"
"ID_VWL 37/5 230V","additionalOutdoorAir","0","0","0","0","1"
"ID_VWL 37/5 230V","additionalExhaustAir","0","0","0","0","1"
"ID_VWL 37/5 230V","additionalIndoorAir","0","0","0","0","1"
"ID_VWL 37/5 230V","additionalNonheatedSpaceAir","0","0","0","0","1"
"ID_VWL 37/5 230V","powerSupply","1","0","0","0","1"
"ID_VWL 37/5 230V","offPeakProduct","0","0","0","0","1"
"ID_VWL 37/5 230V","EN14511_4_001","2","0","10","0","2"
"ID_VWL 37/5 230V","EN14511_4_002","2","0","10","0","2"
"ID_VWL 37/5 230V","EN14511_2_001","4.92","4","10","0","2"
"ID_VWL 37/5 230V","EN14511_2_001","4.73","5","10","0","2"
"ID_VWL 37/5 230V","EN14511_2_002","1.15","4","10","0","2"
"ID_VWL 37/5 230V","EN14511_2_002","1.79","5","10","0","2"
"ID_VWL 37/5 230V","EN14511_2_003","4.46","4","10","0","2"
"ID_VWL 37/5 230V","EN14511_2_003","2.69","5","10","0","2"
"ID_VWL 37/5 230V","EN14511_4_003","2","0","10","0","2"
"ID_VWL 37/5 230V","EN14511_4_004","2","0","10","0","2"
"ID_VWL 37/5 230V","EN14511_4_005","2","0","10","0","2"
"ID_VWL 37/5 230V","EN14511_4_006","2","0","10","0","2"
"ID_VWL 37/5 230V","EN12102_1_001","49","4","1","0","2"
"ID_VWL 37/5 230V","EN12102_1_001","49","5","1","0","2"
"ID_VWL 37/5 230V","EN12102_1_001","49","4","2","0","2"
"ID_VWL 37/5 230V","EN12102_1_001","49","5","2","0","2"
"ID_VWL 37/5 230V","EN12102_1_001","49","4","3","0","2"
"ID_VWL 37/5 230V","EN12102_1_001","49","5","3","0","2"
"ID_VWL 37/5 230V","EN12102_1_002","-","4","1","0","2"
"ID_VWL 37/5 230V","EN12102_1_002","-","5","1","0","2"
"ID_VWL 37/5 230V","EN12102_1_002","-","4","2","0","2"
"ID_VWL 37/5 230V","EN12102_1_002","-","5","2","0","2"
"ID_VWL 37/5 230V","EN12102_1_002","-","4","3","0","2"
"ID_VWL 37/5 230V","EN12102_1_002","-","5","3","0","2"
"ID_VWL 37/5 230V","EN14825_001","212","4","1","0","2"
"ID_VWL 37/5 230V","EN14825_001","139","5","1","0","2"
