"modelID","varName","value","temperature","climate","indoorUnittype","info"
"Z015183","title","Vitocal 200-A AWO-E-M 201.A04","0","0","0","1"
"Z015183","application","2","0","0","0","1"
"Z015183","indoor","1","0","0","0","1"
"Z015183","outdoor","1","0","0","0","1"
"Z015183","coolingMode7c12c","0","0","0","0","1"
"Z015183","coolingMode18c23c","0","0","0","0","1"
"Z015183","colderClimate","0","0","0","0","1"
"Z015183","warmerClimate","0","0","0","0","1"
"Z015183","reversibility","0","0","0","0","1"
"Z015183","colderForHeating","0","0","0","0","1"
"Z015183","warmerForHeating","0","0","0","0","1"
"Z015183","en145112Certification","0","0","0","0","1"
"Z015183","heatSource","0","0","0","0","1"
"Z015183","additionalOutdoorAir","0","0","0","0","1"
"Z015183","additionalExhaustAir","0","0","0","0","1"
"Z015183","additionalIndoorAir","0","0","0","0","1"
"Z015183","additionalNonheatedSpaceAir","0","0","0","0","1"
"Z015183","powerSupply","1","0","0","0","1"
"Z015183","offPeakProduct","1","0","0","0","1"
"Z015183","EN14511_4_001","2","0","10","0","2"
"Z015183","EN14511_4_001","2","0","10","0","2"
"Z015183","EN14511_4_002","2","0","10","0","2"
"Z015183","EN14511_4_002","2","0","10","0","2"
"Z015183","EN14511_2_001","3.96","4","10","0","2"
"Z015183","EN14511_2_001","3.61","5","10","0","2"
"Z015183","EN14511_2_002","0.87","4","10","0","2"
"Z015183","EN14511_2_002","1.37","5","10","0","2"
"Z015183","EN14511_2_003","4.56","4","10","0","2"
"Z015183","EN14511_2_003","2.64","5","10","0","2"
"Z015183","EN14511_4_003","2","0","10","0","2"
"Z015183","EN14511_4_003","2","0","10","0","2"
"Z015183","EN14511_4_004","2","0","10","0","2"
"Z015183","EN14511_4_004","2","0","10","0","2"
"Z015183","EN14511_4_005","2","0","10","0","2"
"Z015183","EN14511_4_005","2","0","10","0","2"
"Z015183","EN12102_1_001","39","4","3","0","2"
"Z015183","EN12102_1_001","39","5","3","0","2"
"Z015183","EN12102_1_002","53","4","3","0","2"
"Z015183","EN12102_1_002","53","5","3","0","2"
"Z015183","EN14825_043","5.38","0","10","0","2"
"Z015183","EN14825_001","173","4","3","0","2"
"Z015183","EN14825_001","124","5","3","0","2"
"Z015183","EN14825_002","5.38","4","3","0","2"
"Z015183","EN14825_002","5.23","5","3","0","2"
"Z015183","EN14825_003","4.40","4","3","0","2"
"Z015183","EN14825_003","3.18","5","3","0","2"
"Z015183","EN14825_004","-7","4","3","0","2"
"Z015183","EN14825_004","-7","5","3","0","2"
"Z015183","EN14825_005","-20","4","3","0","2"
"Z015183","EN14825_005","-20","5","3","0","2"
"Z015183","EN14825_008","4.76","4","3","0","2"
"Z015183","EN14825_008","4.63","5","3","0","2"
"Z015183","EN14825_009","2.86","4","3","0","2"
"Z015183","EN14825_009","2.03","5","3","0","2"
"Z015183","EN14825_010","3.00","4","3","0","2"
"Z015183","EN14825_010","3.11","5","3","0","2"
"Z015183","EN14825_011","4.33","4","3","0","2"
"Z015183","EN14825_011","3.07","5","3","0","2"
"Z015183","EN14825_012","3.15","4","3","0","2"
"Z015183","EN14825_012","2.97","5","3","0","2"
"Z015183","EN14825_013","5.77","4","3","0","2"
"Z015183","EN14825_013","4.19","5","3","0","2"
"Z015183","EN14825_014","3.05","4","3","0","2"
"Z015183","EN14825_014","2.91","5","3","0","2"
"Z015183","EN14825_015","7.14","4","3","0","2"
"Z015183","EN14825_015","5.50","5","3","0","2"
"Z015183","EN14825_016","4.76","4","3","0","2"
"Z015183","EN14825_016","4.63","5","3","0","2"
"Z015183","EN14825_017","2.86","4","3","0","2"
"Z015183","EN14825_017","2.03","5","3","0","2"
"Z015183","EN14825_018","4.33","4","3","0","2"
"Z015183","EN14825_018","4.39","5","3","0","2"
"Z015183","EN14825_019","2.59","4","3","0","2"
"Z015183","EN14825_019","1.86","5","3","0","2"
"Z015183","EN14825_020","2250","0","10","0","2"
"Z015183","EN14825_021","0.98","4","3","0","2"
"Z015183","EN14825_021","0.98","5","3","0","2"
"Z015183","EN14825_022","60","4","3","0","2"
"Z015183","EN14825_022","60","5","3","0","2"
"Z015183","EN14825_023","11","4","3","0","2"
"Z015183","EN14825_023","11","5","3","0","2"
"Z015183","EN14825_024","0","4","3","0","2"
"Z015183","EN14825_024","0","5","3","0","2"
"Z015183","EN14825_025","16","4","3","0","2"
"Z015183","EN14825_025","16","5","3","0","2"
"Z015183","EN14825_026","0","4","3","0","2"
"Z015183","EN14825_026","0","5","3","0","2"
"Z015183","EN14825_027","1","4","3","0","2"
"Z015183","EN14825_027","1","5","3","0","2"
"Z015183","EN14825_028","1.07","4","3","0","2"
"Z015183","EN14825_028","0.86","5","3","0","2"
"Z015183","EN14825_029","2524","4","3","0","2"
"Z015183","EN14825_029","3292","5","3","0","2"
"Z015184","title","Vitocal 200-A AWO-E-M 201.A06","0","0","0","1"
"Z015184","application","2","0","0","0","1"
"Z015184","indoor","1","0","0","0","1"
"Z015184","outdoor","1","0","0","0","1"
"Z015184","coolingMode7c12c","0","0","0","0","1"
"Z015184","coolingMode18c23c","0","0","0","0","1"
