"modelID","varName","value","temperature","climate","indoorUnittype","info"
"Z019168","title","VITOCAL 200-G BWC 201.B10","0","0","0","1"
"Z019168","application","2","0","0","0","1"
"Z019168","indoor","1","0","0","0","1"
"Z019168","outdoor","0","0","0","0","1"
"Z019168","coolingMode7c12c","0","0","0","0","1"
"Z019168","coolingMode18c23c","0","0","0","0","1"
"Z019168","colderClimate","1","0","0","0","1"
"Z019168","warmerClimate","1","0","0","0","1"
"Z019168","reversibility","0","0","0","0","1"
"Z019168","colderForHeating","0","0","0","0","1"
"Z019168","warmerForHeating","0","0","0","0","1"
"Z019168","en145112Certification","0","0","0","0","1"
"Z019168","heatSource","0","0","0","0","1"
"Z019168","additionalOutdoorAir","0","0","0","0","1"
"Z019168","additionalExhaustAir","0","0","0","0","1"
"Z019168","additionalIndoorAir","0","0","0","0","1"
"Z019168","additionalNonheatedSpaceAir","0","0","0","0","1"
"Z019168","powerSupply","3","0","0","0","1"
"Z019168","offPeakProduct","1","0","0","0","1"
"Z019168","EN14511_4_001","2","0","10","0","2"
"Z019168","EN14511_4_002","2","0","10","0","2"
"Z019168","EN14511_2_001","10.36","4","10","0","2"
"Z019168","EN14511_2_001","9.42","5","10","0","2"
"Z019168","EN14511_2_002","2.16","4","10","0","2"
"Z019168","EN14511_2_002","3.32","5","10","0","2"
"Z019168","EN14511_2_003","4.81","4","10","0","2"
"Z019168","EN14511_2_003","2.85","5","10","0","2"
"Z019168","EN14511_4_003","2","0","10","0","2"
"Z019168","EN14511_4_004","2","0","10","0","2"
"Z019168","EN14511_4_005","2","0","10","0","2"
"Z019168","EN14511_4_006","2","0","10","0","2"
"Z019168","EN12102_1_001","46","4","1","0","2"
"Z019168","EN12102_1_001","46","5","1","0","2"
"Z019168","EN12102_1_001","46","4","2","0","2"
"Z019168","EN12102_1_001","46","5","2","0","2"
"Z019168","EN12102_1_001","46","4","3","0","2"
"Z019168","EN12102_1_001","46","5","3","0","2"
"Z019168","EN14825_043","11.72","0","3","0","2"
"Z019168","EN14825_001","208","4","1","0","2"
"Z019168","EN14825_001","145","5","1","0","2"
"Z019168","EN14825_001","206","4","2","0","2"
"Z019168","EN14825_001","143","5","2","0","2"
"Z019168","EN14825_001","204","4","3","0","2"
"Z019168","EN14825_001","150","5","3","0","2"
"Z019168","EN14825_002","10.27","4","1","0","2"
"Z019168","EN14825_002","9.39","5","1","0","2"
