"modelID","varName","value","temperature","climate","indoorUnittype","info"
"m005","title","FHA-08/10-230V-M2 FS-B2","0","0","0","1"
"m005","application","2","0","0","0","1"
"m005","indoor","1","0","0","0","1"
"m005","outdoor","1","0","0","0","1"
"m005","coolingMode7c12c","1","0","0","0","1"
"m005","coolingMode18c23c","1","0","0","0","1"
"m005","colderClimate","0","0","0","0","1"
"m005","warmerClimate","1","0","0","0","1"
"m005","reversibility","1","0","0","0","1"
"m005","colderForHeating","0","0","0","0","1"
"m005","warmerForHeating","1","0","0","0","1"
"m005","en145112Certification","0","0","0","0","1"
"m005","heatSource","0","0","0","0","1"
"m005","additionalOutdoorAir","0","0","0","0","1"
"m005","additionalExhaustAir","0","0","0","0","1"
"m005","additionalIndoorAir","0","0","0","0","1"
"m005","additionalNonheatedSpaceAir","0","0","0","0","1"
"m005","powerSupply","1","0","0","0","1"
"m005","offPeakProduct","0","0","0","0","1"
"m005","EN14511_2_001","10.73","4","10","0","2"
"m005","EN14511_2_001","9.69","5","10","0","2"
"m005","EN14511_2_002","2.66","6","4","0","2"
"m005","EN14511_2_002","2.22","7","4","0","2"
"m005","EN14511_2_002","2.29","4","10","0","2"
"m005","EN14511_2_002","3.38","5","10","0","2"
"m005","EN14511_2_003","4.69","4","10","0","2"
"m005","EN14511_2_003","2.87","5","10","0","2"
"m005","EN14511_2_005","8.10","6","4","0","2"
"m005","EN14511_2_005","9.72","7","4","0","2"
"m005","EN14511_2_007","3.04","6","4","0","2"
"m005","EN14511_2_007","4.38","7","4","0","2"
"m005","EN14511_4_003","2","0","10","0","2"
"m005","EN14511_4_004","2","0","10","0","2"
"m005","EN14511_4_005","2","0","10","0","2"
"m005","EN14511_4_006","2","0","10","0","2"
"m005","EN12102_1_001","30","4","1","0","2"
"m005","EN12102_1_001","30","5","1","0","2"
"m005","EN12102_1_001","30","4","3","0","2"
"m005","EN12102_1_001","30","5","3","0","2"
"m005","EN12102_1_002","59","4","1","0","2"
"m005","EN12102_1_002","59","5","1","0","2"
"m005","EN12102_1_002","59","4","3","0","2"
"m005","EN12102_1_002","59","5","3","0","2"
"m005","EN14825_001","259","4","1","0","2"
"m005","EN14825_001","166","5","1","0","2"
"m005","EN14825_001","195","4","3","0","2"
"m005","EN14825_001","119","5","3","0","2"
"m005","EN14825_002","8.33","4","1","0","2"
"m005","EN14825_002","7.22","5","1","0","2"
"m005","EN14825_002","6.95","4","3","0","2"
"m005","EN14825_002","3.59","5","3","0","2"
"m005","EN14825_003","6.55","4","1","0","2"
"m005","EN14825_003","4.23","5","1","0","2"
