"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","Jabbah 7-1","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","0","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","0","0","0","0","1"
"","warmerClimate","0","0","0","0","1"
"","reversibility","1","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","1","0","0","0","1"
"","offPeakProduct","0","0","0","0","1"
"","EN14511_2_001","3.87","4","10","0","2"
"","EN14511_2_001","3.09","5","10","0","2"
"","EN14511_2_002","0.85","4","10","0","2"
"","EN14511_2_002","1.21","5","10","0","2"
"","EN14511_2_003","4.54","4","10","0","2"
"","EN14511_2_003","2.55","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN14511_4_006","2","0","10","0","2"
"","EN12102_1_002","55","4","3","0","2"
"","EN12102_1_002","55","5","3","0","2"
"","EN14825_001","162","4","3","0","2"
"","EN14825_001","123","5","3","0","2"
"","EN14825_002","8.20","4","3","0","2"
"","EN14825_002","7.49","5","3","0","2"
"","EN14825_003","4.13","4","3","0","2"
"","EN14825_003","3.15","5","3","0","2"
"","EN14825_004","-8","4","3","0","2"
"","EN14825_004","-7","5","3","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","7.18","4","3","0","2"
"","EN14825_008","6.55","5","3","0","2"
"","EN14825_009","2.65","4","3","0","2"
"","EN14825_009","2.03","5","3","0","2"
"","EN14825_047","1.000","4","3","0","2"
"","EN14825_047","1.000","5","3","0","2"
"","EN14825_010","4.14","4","3","0","2"
"","EN14825_010","3.70","5","3","0","2"
