"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","LWD 50A/RX-HMD","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","0","0","0","0","1"
"","outdoor","1","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","1","0","0","0","1"
"","reversibility","1","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","3","0","0","0","1"
"","offPeakProduct","0","0","0","0","1"
"","EN14511_2_001","6.80","4","10","0","2"
"","EN14511_2_001","6.16","5","10","0","2"
"","EN14511_2_002","1.49","4","10","0","2"
"","EN14511_2_002","1.78","5","10","0","2"
"","EN14511_2_003","4.56","4","10","0","2"
"","EN14511_2_003","3.46","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_005","2","0","10","0","2"
"","EN14511_4_006","2","0","10","0","2"
"","EN12102_1_002","57","4","1","0","2"
"","EN12102_1_002","57","5","1","0","2"
"","EN12102_1_002","57","4","2","0","2"
"","EN12102_1_002","57","5","2","0","2"
"","EN12102_1_002","57","4","3","0","2"
"","EN12102_1_002","57","5","3","0","2"
"","EN14825_001","185","4","1","0","2"
"","EN14825_001","151","5","1","0","2"
"","EN14825_001","135","4","2","0","2"
"","EN14825_001","114","5","2","0","2"
"","EN14825_001","152","4","3","0","2"
"","EN14825_001","125","5","3","0","2"
"","EN14825_002","6.95","4","1","0","2"
"","EN14825_002","6.51","5","1","0","2"
"","EN14825_002","5.38","4","2","0","2"
"","EN14825_002","5.04","5","2","0","2"
"","EN14825_002","5.78","4","3","0","2"
"","EN14825_002","5.41","5","3","0","2"
"","EN14825_003","4.69","4","1","0","2"
"","EN14825_003","3.85","5","1","0","2"
"","EN14825_003","3.45","4","2","0","2"
"","EN14825_003","2.91","5","2","0","2"
"","EN14825_003","3.87","4","3","0","2"
"","EN14825_003","3.21","5","3","0","2"
"","EN14825_004","4","4","1","0","2"
"","EN14825_004","4","5","1","0","2"
"","EN14825_004","-20","4","2","0","2"
"","EN14825_004","-20","5","2","0","2"
"","EN14825_004","-5","4","3","0","2"
"","EN14825_004","-5","5","3","0","2"
"","EN14825_005","2","4","1","0","2"
"","EN14825_005","2","5","1","0","2"
"","EN14825_005","-12","4","2","0","2"
"","EN14825_005","-12","5","2","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","4.50","4","2","0","2"
"","EN14825_008","4.26","5","2","0","2"
"","EN14825_008","4.45","4","3","0","2"
"","EN14825_008","4.11","5","3","0","2"
"","EN14825_009","3.31","4","2","0","2"
"","EN14825_009","2.60","5","2","0","2"
"","EN14825_009","3.13","4","3","0","2"
"","EN14825_009","2.28","5","3","0","2"
"","EN14825_047","0.99","4","2","0","2"
"","EN14825_047","0.99","5","2","0","2"
"","EN14825_047","1.00","4","3","0","2"
"","EN14825_047","1.00","5","3","0","2"
"","EN14825_010","5.36","4","1","0","2"
"","EN14825_010","5.07","5","1","0","2"
"","EN14825_010","5.45","4","2","0","2"
"","EN14825_010","5.33","5","2","0","2"
"","EN14825_010","5.41","4","3","0","2"
"","EN14825_010","5.26","5","3","0","2"
"","EN14825_011","3.67","4","1","0","2"
"","EN14825_011","2.58","5","1","0","2"
"","EN14825_011","4.04","4","2","0","2"
"","EN14825_011","3.47","5","2","0","2"
"","EN14825_011","3.90","4","3","0","2"
"","EN14825_011","3.19","5","3","0","2"
"","EN14825_048","1.00","4","1","0","2"
"","EN14825_048","1.00","5","1","0","2"
"","EN14825_048","0.99","4","2","0","2"
"","EN14825_048","0.99","5","2","0","2"
"","EN14825_048","0.99","4","3","0","2"
"","EN14825_048","0.99","5","3","0","2"
"","EN14825_012","6.83","4","1","0","2"
"","EN14825_012","6.43","5","1","0","2"
"","EN14825_012","6.93","4","2","0","2"
"","EN14825_012","6.85","5","2","0","2"
"","EN14825_012","6.89","4","3","0","2"
"","EN14825_012","6.73","5","3","0","2"
"","EN14825_013","4.73","4","1","0","2"
"","EN14825_013","3.53","5","1","0","2"
"","EN14825_013","4.95","4","2","0","2"
"","EN14825_013","4.61","5","2","0","2"
"","EN14825_013","4.88","4","3","0","2"
"","EN14825_013","4.29","5","3","0","2"
"","EN14825_049","0.99","4","1","0","2"
"","EN14825_049","0.99","5","1","0","2"
"","EN14825_049","0.99","4","2","0","2"
"","EN14825_049","0.99","5","2","0","2"
"","EN14825_049","0.99","4","3","0","2"
"","EN14825_049","0.99","5","3","0","2"
"","EN14825_014","7.58","4","1","0","2"
"","EN14825_014","7.47","5","1","0","2"
"","EN14825_014","7.60","4","2","0","2"
"","EN14825_014","7.63","5","2","0","2"
"","EN14825_014","7.61","4","3","0","2"
"","EN14825_014","7.58","5","3","0","2"
"","EN14825_015","5.48","4","1","0","2"
"","EN14825_015","4.96","5","1","0","2"
"","EN14825_015","5.06","4","2","0","2"
"","EN14825_015","5.16","5","2","0","2"
"","EN14825_015","5.36","4","3","0","2"
"","EN14825_015","5.19","5","3","0","2"
"","EN14825_050","0.99","4","1","0","2"
"","EN14825_050","0.99","5","1","0","2"
"","EN14825_050","0.99","4","2","0","2"
"","EN14825_050","0.99","5","2","0","2"
"","EN14825_050","0.99","4","3","0","2"
"","EN14825_050","0.99","5","3","0","2"
"","EN14825_016","5.96","4","1","0","2"
"","EN14825_016","5.58","5","1","0","2"
"","EN14825_016","3.96","4","2","0","2"
"","EN14825_016","3.71","5","2","0","2"
"","EN14825_016","4.67","4","3","0","2"
"","EN14825_016","4.37","5","3","0","2"
"","EN14825_017","4.16","4","1","0","2"
"","EN14825_017","2.92","5","1","0","2"
"","EN14825_017","2.86","4","2","0","2"
"","EN14825_017","2.21","5","2","0","2"
"","EN14825_017","3.33","4","3","0","2"
"","EN14825_017","2.46","5","3","0","2"
"","EN14825_018","5.36","4","1","0","2"
"","EN14825_018","5.07","5","1","0","2"
"","EN14825_018","3.09","4","2","0","2"
"","EN14825_018","2.90","5","2","0","2"
"","EN14825_018","4.12","4","3","0","2"
"","EN14825_018","3.78","5","3","0","2"
"","EN14825_019","3.67","4","1","0","2"
"","EN14825_019","2.58","5","1","0","2"
"","EN14825_019","2.14","4","2","0","2"
"","EN14825_019","1.70","5","2","0","2"
"","EN14825_019","2.85","4","3","0","2"
"","EN14825_019","2.06","5","3","0","2"
"","EN14825_022","62","4","1","0","2"
"","EN14825_022","62","5","1","0","2"
"","EN14825_022","62","4","2","0","2"
"","EN14825_022","62","5","2","0","2"
"","EN14825_022","62","4","3","0","2"
"","EN14825_022","62","5","3","0","2"
