"modelID","varName","value","temperature","climate","indoorUnittype","info"
"","title","WWC 160H/X","0","0","0","1"
"","application","2","0","0","0","1"
"","indoor","1","0","0","0","1"
"","outdoor","0","0","0","0","1"
"","coolingMode7c12c","0","0","0","0","1"
"","coolingMode18c23c","0","0","0","0","1"
"","colderClimate","1","0","0","0","1"
"","warmerClimate","1","0","0","0","1"
"","reversibility","0","0","0","0","1"
"","colderForHeating","0","0","0","0","1"
"","warmerForHeating","0","0","0","0","1"
"","en145112Certification","0","0","0","0","1"
"","heatSource","0","0","0","0","1"
"","additionalOutdoorAir","0","0","0","0","1"
"","additionalExhaustAir","0","0","0","0","1"
"","additionalIndoorAir","0","0","0","0","1"
"","additionalNonheatedSpaceAir","0","0","0","0","1"
"","powerSupply","3","0","0","0","1"
"","offPeakProduct","0","0","0","0","1"
"","EN14511_2_001","14.60","4","10","0","2"
"","EN14511_2_001","13.42","5","10","0","2"
"","EN14511_2_002","2.73","4","10","0","2"
"","EN14511_2_002","3.90","5","10","0","2"
"","EN14511_2_003","5.35","4","10","0","2"
"","EN14511_2_003","3.44","5","10","0","2"
"","EN14511_4_003","2","0","10","0","2"
"","EN14511_4_004","2","0","10","0","2"
"","EN14511_4_006","2","0","10","0","2"
"","EN12102_1_001","53","4","3","0","2"
"","EN12102_1_001","53","5","3","0","2"
"","EN14825_001","240","4","1","0","2"
"","EN14825_001","168","5","1","0","2"
"","EN14825_001","246","4","2","0","2"
"","EN14825_001","172","5","2","0","2"
"","EN14825_001","221","4","3","0","2"
"","EN14825_001","167","5","3","0","2"
"","EN14825_002","14.70","4","1","0","2"
"","EN14825_002","13.83","5","1","0","2"
"","EN14825_002","14.70","4","2","0","2"
"","EN14825_002","13.83","5","2","0","2"
"","EN14825_002","14.60","4","3","0","2"
"","EN14825_002","13.83","5","3","0","2"
"","EN14825_003","6.19","4","1","0","2"
"","EN14825_003","4.40","5","1","0","2"
"","EN14825_003","6.34","4","2","0","2"
"","EN14825_003","4.50","5","2","0","2"
"","EN14825_003","5.72","4","3","0","2"
"","EN14825_003","4.37","5","3","0","2"
"","EN14825_004","2","4","1","0","2"
"","EN14825_004","2","5","1","0","2"
"","EN14825_004","-22","4","2","0","2"
"","EN14825_004","-22","5","2","0","2"
"","EN14825_004","-10","4","3","0","2"
"","EN14825_004","-10","5","3","0","2"
"","EN14825_005","2","4","1","0","2"
"","EN14825_005","2","5","1","0","2"
"","EN14825_005","-22","4","2","0","2"
"","EN14825_005","-22","5","2","0","2"
"","EN14825_005","-10","4","3","0","2"
"","EN14825_005","-10","5","3","0","2"
"","EN14825_008","14.83","4","2","0","2"
"","EN14825_008","14.22","5","2","0","2"
"","EN14825_008","14.61","4","3","0","2"
"","EN14825_008","13.53","5","3","0","2"
"","EN14825_009","6.21","4","2","0","2"
"","EN14825_009","4.16","5","2","0","2"
"","EN14825_009","5.39","4","3","0","2"
"","EN14825_009","3.61","5","3","0","2"
"","EN14825_047","1.00","4","2","0","2"
"","EN14825_047","1.00","5","2","0","2"
"","EN14825_047","1.00","4","3","0","2"
"","EN14825_047","1.00","5","3","0","2"
"","EN14825_010","14.70","4","1","0","2"
"","EN14825_010","13.83","5","1","0","2"
"","EN14825_010","14.91","4","2","0","2"
"","EN14825_010","14.47","5","2","0","2"
"","EN14825_010","14.71","4","3","0","2"
"","EN14825_010","13.97","5","3","0","2"
