manufacturers,models,titel,dates,types,refrigerants,mass_of_refrigerants,spl_indoor_l,spl_outdoor_l,eta_l,p_rated_l,scop_l,t_biv,tol,p_th_minus7_l,cop_minus7_l,p_el_minus7_l,p_th_2_l,cop_2_l,p_el_2_l,p_th_7_l,cop_7_l,p_el_7_l,p_th_12_l,cop_12_l,p_el_12_l,p_th_tbiv_l,cop_tbiv_l,p_el_tbiv_l,p_th_tol_l,cop_tol_l,p_el_tol_l,rated_airflows_l,wtols,poffs,ptos,psbs,pcks,supp_energy_types,p_sups_l,p_design_cools_l,seers_l,pdcs_35_l,eer_35_l,p_el_35_l,pdcs_30_l,eer_30_l,p_el_30_l,pdcs_25_l,eer_25_l,p_el_25_l,pdcs_20_l,eer_20_l,p_el_20_l,spl_indoor_h,spl_outdoor_h,eta_h,p_rated_h,p_th_minus7_h,cop_minus7_h,p_el_minus7_h,p_th_2_h,cop_2_h,p_el_2_h,p_th_7_h,cop_7_h,p_el_7_h,p_th_12_h,cop_12_h,p_el_12_h,p_th_tbiv_h,cop_tbiv_h,p_el_tbiv_h,p_th_tol_h,cop_tol_h,p_el_tol_h,rated_airflows_h,p_sups_h,p_design_cools_h,seers_h,pdcs_35_h,eer_35_h,p_el_35_h,pdcs_30_h,eer_30_h,p_el_30_h,pdcs_25_h,eer_25_h,p_el_25_h,pdcs_20_h,eer_20_h,p_el_20_h,p_el_minus7_l_n,p_el_2_l_n,p_el_7_l_n,p_el_12_l_n,p_el_tbiv_l_n,p_el_tol_l_n,p_el_35_l_n,p_el_30_l_n,p_el_25_l_n,p_el_20_l_n,p_el_minus7_h_n,p_el_2_h_n,p_el_7_h_n,p_el_12_h_n,p_el_tbiv_h_n,p_el_tol_h_n,p_el_35_h_n,p_el_30_h_n,p_el_25_h_n,p_el_20_h_n
 Acond a.s.,Acond PRO-N,Acond PRO-N,17.03.2022,Outdoor Air/Water,R290,"1,350 kg",,,164.0,5.29,4.18,-10.0,-22.0,4680.0,2.98,1570.4697986577182,2880.0,4.18,688.9952153110048,1830.0,5.11,358.12133072407045,1810.0,5.18,349.42084942084944,5290.0,2.21,2393.665158371041,5290.0,2.21,2393.665158371041,,70.0,16.0,16.0,16.0,0.0,0,0.0,,,,,,,,,,,,,,,0.0,48,135.0,5.14,4540.0,2.2,2063.6363636363635,2770.0,3.42,809.9415204678363,1860.0,4.46,417.0403587443946,1760.0,4.86,362.13991769547323,5140.0,1.88,2734.0425531914893,5140.0,1.88,2734.0425531914893,,0.0,,,,,,,,,,,,,,,0.7610206072790705,0.3338743334106191,0.17353897083545264,0.1693228785739799,1.1599258476687864,1.1599258476687864,,,,,1.0,0.3924826751165727,0.20209004168230577,0.17548630372908394,1.3248664354672417,1.3248664354672417,,,,
 Acond a.s.,Acond PRO-R,Acond PRO-R,17.03.2022,Outdoor Air/Water,R290,"2,750 kg",,,199.0,10.38,5.05,-10.0,-22.0,9230.0,3.24,2848.7654320987654,5460.0,5.03,1085.4870775347913,3810.0,6.33,601.8957345971564,4050.0,7.42,545.822102425876,10380.0,2.76,3760.8695652173915,10380.0,2.76,3760.8695652173915,,70.0,16.0,16.0,16.0,0.0,0,0.0,,,,,,,,,,,,,,,0.0,49,154.0,10.17,9000.0,2.5,3600.0,5530.0,3.87,1428.9405684754522,3520.0,4.97,708.2494969818914,3880.0,6.14,631.9218241042346,10170.0,2.08,4889.423076923077,10170.0,2.08,4889.423076923077,,0.0,,,,,,,,,,,,,,,0.7913237311385459,0.3015241882041087,0.16719325961032122,0.15161725067385445,1.0446859903381642,1.0446859903381642,,,,,1.0,0.39692793568762563,0.19673597138385873,0.17553384002895406,1.3581730769230769,1.3581730769230769,,,,
 Advantix S.p.A.,i-32V5 06/08 A,i-32V506 A,05.08.2022,Outdoor Air/Water,R32,"0,970 kg",,62,175.0,7.0,4.46,-7.0,-20.0,6100.0,2.96,2060.810810810811,3800.0,4.49,846.3251670378619,3200.0,5.37,595.903165735568,3500.0,7.29,480.10973936899865,6100.0,2.96,2060.810810810811,6100.0,2.73,2234.4322344322345,,60.0,22.0,22.0,22.0,0.0,0,0.9,5.19,4.42,5190.0,3.16,1642.4050632911392,3800.0,4.04,940.5940594059406,2450.0,4.8,510.4166666666667,2860.0,6.51,439.3241167434716,,62,126.0,7.0,6000.0,2.17,2764.9769585253457,3600.0,3.22,1118.0124223602484,3000.0,3.82,785.3403141361257,3300.0,5.05,653.4653465346535,6000.0,2.17,2764.9769585253457,6000.0,2.04,2941.176470588235,,1.0,,,,4.710353726844268,,,6.226515963071146,,,7.38093071199996,,,10.983775775577591,,0.7453265765765765,0.3060876020786934,0.21551831160769708,0.17363968907178784,0.7453265765765765,0.8081196581196581,1.0,0.5726931074610352,0.3107739242132306,0.2674882868804182,1.0,0.40434782608695646,0.28403141361256545,0.23633663366336632,1.0,1.0637254901960784,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 06/08 A,i-32V508 A,05.08.2022,Outdoor Air/Water,R32,"0,970 kg",,62,175.0,8.0,4.46,-7.0,-20.0,6800.0,2.98,2281.8791946308725,4200.0,4.58,917.0305676855895,3200.0,5.16,620.1550387596899,3600.0,6.85,525.5474452554745,6800.0,2.98,2281.8791946308725,6800.0,2.71,2509.2250922509224,,60.0,22.0,22.0,22.0,0.0,0,1.2,6.14,4.51,6140.0,3.12,1967.9487179487178,4510.0,4.08,1105.392156862745,2900.0,4.85,597.938144329897,2900.0,6.27,462.51993620414675,,62,128.0,7.0,6600.0,2.21,2986.425339366516,3900.0,3.26,1196.319018404908,3000.0,3.9,769.2307692307693,3400.0,5.23,650.095602294455,6600.0,2.21,2986.425339366516,6400.0,2.0,3200.0,,0.6,,,,4.6507289961247205,,,6.288164635972842,,,7.457815406916626,,,10.578843949749846,,0.7640837909294285,0.30706629614926556,0.20765797509983555,0.17597876575978766,0.7640837909294285,0.840210220284021,1.0,0.5616976432266717,0.30383827529467083,0.23502641709396382,1.0,0.4005856107083101,0.25757575757575757,0.21768352743496147,1.0,1.0715151515151515,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 06/08 A,i-32V5SL08 A,05.08.2022,Outdoor Air/Water,R32,"0,970 kg",,53,180.0,8.0,4.57,-7.0,-20.0,6700.0,3.0,2233.3333333333335,4100.0,4.67,877.9443254817987,3200.0,5.49,582.8779599271402,3500.0,7.02,498.5754985754986,6700.0,3.0,2233.3333333333335,6500.0,2.61,2490.4214559386974,,60.0,22.0,22.0,22.0,0.0,0,1.5,6.14,4.51,6140.0,3.12,1967.9487179487178,4510.0,4.08,1105.392156862745,2900.0,4.85,597.938144329897,2900.0,6.27,462.51993620414675,,53,131.0,7.0,6500.0,2.23,2914.798206278027,3800.0,3.32,1144.578313253012,3000.0,4.08,735.2941176470588,3400.0,5.36,634.3283582089551,6500.0,2.23,2914.798206278027,6100.0,1.92,3177.0833333333335,,0.9,,,,4.6507289961247205,,,6.288164635972842,,,7.457815406916626,,,10.578843949749846,,0.7662051282051282,0.3012024378191402,0.19997197702115732,0.1710497479728249,0.7662051282051282,0.8544061302681992,1.0,0.5616976432266717,0.30383827529467083,0.23502641709396382,1.0,0.39267840593141795,0.252262443438914,0.2176234213547646,1.0,1.0899839743589743,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 10/12,i-32V510,26.05.2020,Outdoor Air/Water,R32,"2,500 kg",,62,178.0,9.0,4.53,-7.0,-20.0,8300.0,2.93,2832.7645051194536,5300.0,4.32,1226.8518518518517,4200.0,6.01,698.8352745424293,4900.0,8.08,606.4356435643564,8300.0,2.93,2832.7645051194536,8300.0,2.71,3062.730627306273,,60.0,19.0,22.0,19.0,0.0,0,0.7,7.53,4.34,7530.0,3.15,2390.4761904761904,5490.0,3.92,1400.5102040816328,3560.0,4.46,798.2062780269058,4350.0,6.36,683.9622641509434,,62,135.0,9.0,8100.0,2.13,3802.816901408451,5200.0,3.41,1524.9266862170086,4100.0,4.3,953.4883720930233,4800.0,6.36,754.7169811320755,8100.0,2.13,3802.816901408451,8100.0,1.96,4132.65306122449,,0.9,,,,4.695447544164381,,,6.041569944366063,,,6.858114786566629,,,10.730693384435252,,0.7449121476425229,0.322616598079561,0.18376779441671287,0.15947011367803443,0.7449121476425229,0.8053847205138718,1.0,0.5858708025042687,0.33391099280010006,0.28611967225437873,1.0,0.40099923970891704,0.2507321274763135,0.19846261355695316,1.0,1.0867346938775508,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 10/12,i-32V512,26.05.2020,Outdoor Air/Water,R32,"2,500 kg",,62,176.0,10.0,4.47,-7.0,-20.0,8900.0,2.88,3090.277777777778,5400.0,4.31,1252.9002320185616,4300.0,5.82,738.8316151202749,4900.0,7.81,627.4007682458387,8900.0,2.88,3090.277777777778,8800.0,2.64,3333.333333333333,,60.0,19.0,22.0,19.0,0.0,0,1.2,8.51,4.43,8510.0,3.05,2790.16393442623,6280.0,4.03,1558.3126550868485,3980.0,4.58,868.9956331877729,4230.0,6.32,669.3037974683544,,62,131.0,10.0,8500.0,2.08,4086.5384615384614,5200.0,3.35,1552.2388059701493,4200.0,4.24,990.566037735849,4800.0,5.31,903.9548022598871,8500.0,2.08,4086.5384615384614,8700.0,1.96,4438.775510204082,,1.3,,,,4.546385717365512,,,6.211103794845723,,,7.042638054366629,,,10.663204746797295,,0.7562091503267974,0.30659205677630685,0.1807964422882555,0.1535286585825111,0.7562091503267974,0.8156862745098039,1.0,0.5585021854306566,0.31144966876882574,0.23987973939817636,1.0,0.3798419666374013,0.24239733629300778,0.22120305749418415,1.0,1.0861944777911166,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 10/12,i-32V5SL12,26.05.2020,Outdoor Air/Water,R32,"2,500 kg",,53,180.0,10.0,4.58,-7.0,-20.0,8700.0,2.9,3000.0,5300.0,4.42,1199.0950226244345,4300.0,6.14,700.3257328990228,4800.0,8.0,600.0,8700.0,2.9,3000.0,8400.0,2.55,3294.117647058824,,60.0,19.0,22.0,19.0,0.0,0,1.6,8.51,4.43,8510.0,3.05,2790.16393442623,6280.0,4.03,1558.3126550868485,3980.0,4.58,868.9956331877729,4230.0,6.32,669.3037974683544,,53,135.0,10.0,8400.0,2.09,4019.1387559808613,5200.0,3.44,1511.6279069767443,4200.0,4.47,939.5973154362416,4800.0,5.44,882.3529411764705,8400.0,2.09,4019.1387559808613,8300.0,1.89,4391.534391534392,,1.7,,,,4.546385717365512,,,6.211103794845723,,,7.042638054366629,,,10.663204746797295,,0.7464285714285714,0.2983462615815557,0.17424771211416162,0.14928571428571427,0.7464285714285714,0.819607843137255,1.0,0.5585021854306566,0.31144966876882574,0.23987973939817636,1.0,0.3761074197120709,0.23378076062639822,0.2195378151260504,1.0,1.092655580750819,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 16/18,i-32V516,26.05.2020,Outdoor Air/Water,R32,"4,000 kg",,66,177.0,14.0,4.5,-7.0,-20.0,12000.0,2.88,4166.666666666667,7300.0,4.33,1685.9122401847574,5700.0,5.83,977.7015437392796,6700.0,8.12,825.1231527093597,12000.0,2.88,4166.666666666667,11700.0,2.6,4500.0,,60.0,19.0,22.0,19.0,0.0,0,2.3,13.8,4.8,13800.0,3.15,4380.952380952381,10170.0,4.36,2332.5688073394494,6470.0,5.3,1220.754716981132,5530.0,6.67,829.0854572713644,,66,126.0,13.0,11500.0,2.09,5502.392344497608,6900.0,3.06,2254.901960784314,5500.0,4.11,1338.199513381995,6600.0,6.3,1047.6190476190477,11500.0,2.09,5502.392344497608,11500.0,1.94,5927.835051546392,,1.5,,,,4.695447544164381,,,6.719705346284703,,,8.149777661166622,,,11.253730326129423,,0.7572463768115942,0.30639622452053417,0.17768662838392124,0.14995716427500536,0.7572463768115942,0.8178260869565217,1.0,0.5324341842840048,0.27865053322395406,0.18924776742063754,1.0,0.40980392156862744,0.243203215910293,0.19039337474120083,1.0,1.077319587628866,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
 Advantix S.p.A.,i-32V5 16/18,i-32V518T,26.05.2020,Outdoor Air/Water,R32,"4,000 kg",,66,175.0,15.0,4.46,-7.0,-20.0,12800.0,2.83,4522.968197879859,7800.0,4.34,1797.2350230414747,5800.0,5.67,1022.9276895943563,6700.0,7.94,843.8287153652393,12800.0,2.83,4522.968197879859,12800.0,2.59,4942.084942084943,,60.0,19.0,22.0,19.0,0.0,0,2.2,15.04,5.05,15040.0,3.08,4883.116883116883,10960.0,4.38,2502.283105022831,7060.0,5.52,1278.985507246377,5540.0,6.8,814.7058823529412,,66,131.0,14.0,12500.0,2.03,6157.635467980296,7600.0,3.34,2275.4491017964074,5700.0,4.14,1376.8115942028987,6600.0,6.15,1073.170731707317,12500.0,2.03,6157.635467980296,12600.0,1.93,6528.497409326425,,1.4,,,,4.591104265405172,,,6.75052968273555,,,8.488070318799954,,,11.473068398452785,,0.7345300353356891,0.2918709677419355,0.16612345679012344,0.13703778337531486,0.7345300353356891,0.8025945945945946,1.0,0.5124356358690372,0.2619199044094974,0.16684136420525658,1.0,0.36953293413173655,0.22359420289855073,0.17428292682926824,1.0,1.0602279792746114,0.7904811919080059,0.42237676910890365,0.2395702655718678,0.16863056112695485
