Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el_h [1/°C],p2_P_el_h [1/°C],p3_P_el_h [-],p4_P_el_h [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-]
Example-Manufacturer,Example-Model,2023-02-23,Outdoor Air/Water,Regulated,1.0,R290,2.05,40.0,45.0,10,average,1810,4500,2.4861878453038675,-213.67635567274192,0.0117098005755786,0.3778439504896432,213.65132914274335,70.62227306529546,0.0207395125060062,-0.1554032516792316,-70.64453976102044,212.8357877222196,-0.0780399852113231,7.072105769679548,-212.70242426196444
Acond a.s.,Acond PRO-R SP,2022-03-17,Outdoor Air/Water,Regulated,1.0,R290,2.75,0.0,,16,average,3600,9000,2.5,283.8191026117858,-0.0017255368887247,0.7955242710603069,-283.8529397115782,306.7593908316826,0.0104736701695469,0.0772734520342886,-306.8119701477814,-111.4405769802896,-0.0812109041975975,7.247043432439898,111.57831448526946
Acond a.s.,Acond PRO-N,2022-03-17,Outdoor Air/Water,Regulated,1.0,R290,1.35,0.0,,16,average,2064,4540,2.199612403100775,212.74588005899875,-0.0017703407555204,0.7967349620302644,-212.78204462592652,-71.55804146406022,0.0107086155038866,0.0758942348407663,71.50890372513277,-9.146431315049206,-0.0524498813403949,5.534956996548529,9.236933509306244
Advantix ,i-32V512T,2020-05-26,Outdoor Air/Water,Regulated,1.0,R32,2.5,,62.0,19,average,4087,8500,2.0797651088818205,212.7498455415416,-0.0027774754497469,0.8733655304358995,-212.77798135488655,67.48290766938032,0.0112583811589608,0.0392054894056174,-67.53358055314192,-231.84349032328748,-0.0957693531102848,7.310361972563726,231.9739787969565
Advantix ,i-32V5 MIDI 0121,2021-06-07,Outdoor Air/Water,Regulated,1.0,R32,4.3,,65.0,22,average,9140,17000,1.859956236323851,141.68057674017498,-0.0014315527555962,0.8308815954958281,-141.70307062279068,-43.126992775632,0.0121991129564963,-0.0151164295345814,43.07511466272948,212.83810728489107,-0.0797338094675136,6.4322478430511625,-212.69814902024797
Advantix ,i-32V514,2020-05-26,Outdoor Air/Water,Regulated,1.0,R32,3.6,,66.0,19,average,4905,10300,2.0998980632008157,-53.76804691587806,-0.0026866461316795,0.8846028548711056,53.74453318114696,-318.47456597783093,0.0123055705671478,0.0061448620601189,318.4273128553559,212.8467877568986,-0.098136208687232,7.460517636431467,-212.69345564526657
Viessmann,AWO-M-AC (AF) 101.A12,2020-06-25,Outdoor Air/Water,Regulated,1.0,R32,2.5,,65,19,average,4087,8500,2.0797651088818205,212.74984518701703,-0.0027788143073718,0.8734084073098911,-212.77798171106303,-71.55883009858661,0.0112583064112525,0.0392058379077349,71.50815675092741,66.2534355669112,-0.0957693077572631,7.310360218102631,-66.12294709312097
Advantix ,i-32V510T,2020-05-26,Outdoor Air/Water,Regulated,1.0,R32,2.5,,62.0,19,average,3803,8100,2.129897449382067,-71.53705964419458,-0.0018374971747019,0.8453172726620432,71.51155877362883,-102.65580826954448,0.0118192643864448,0.031417963321351,102.60826242825968,8.788655201871029,-0.0896862086229922,7.2036573812840095,-8.625282048573869
Advantix ,i-32V516,2020-05-26,Outdoor Air/Water,Regulated,1.0,R32,4.0,,66.0,19,average,5502,11500,2.0901490367139224,-71.53836997952607,-0.0029845903100291,0.8769210827531756,71.51030159150486,459.53791272127415,0.0119839322195615,0.0237543029204427,-459.58642936398206,212.8480784976906,-0.0983594262819255,7.424928893346112,-212.6920282680162
Advantix ,i-32V518T,2020-05-26,Outdoor Air/Water,Regulated,1.0,R32,4.0,,66.0,19,average,6158,12500,2.029879831113998,212.74940810392255,-0.0017810811079867,0.8177293269655171,-212.77840926776287,53.58834681430525,0.0122021342326497,-0.0083832753602508,-53.638480905620185,-4.957281983150255,-0.0892526796603712,7.072630457269383,5.114547813397789
Viessmann,AWO-AC (AF) 101.A16,2020-06-25,Outdoor Air/Water,Regulated,1.0,R32,4.0,,68,19,average,5502,11500,2.0901490367139224,141.67781728538557,-0.0029843577958783,0.876911923683295,-141.7058851923869,212.7668080717586,0.0119840054897071,0.0237514678973304,-212.81532475905607,212.8480784192849,-0.0983595996005271,7.424935554574381,-212.69202834642164
Advantix ,i-32V510,2020-05-26,Outdoor Air/Water,Regulated,1.0,R32,2.5,,62.0,19,average,3803,8100,2.129897449382067,-35.96511723372633,-0.0018374669316746,0.845317391834451,35.93961637563069,-110.85668550848834,0.0118192789767344,0.0314178297380414,110.80913937053208,32.94298410811643,-0.0896862111989778,7.203657452785594,-32.77961095417302
Group Atlantic España - Soluciones Confort Térmico ,HP60-14 / AHP60-14,2021-10-18,Outdoor Air/Water,Regulated,1.0,R32,3.6,,68.0,19,average,4905,10300,2.0998980632008157,-71.53605822733819,-0.002686138739508,0.8845833875654688,71.51254413944292,120.07580656413396,0.0123055705684178,0.0061434931844358,-120.12305927478128,-0.3787131273503803,-0.0981362130614963,7.460519952189503,0.5320450446596396
Viessmann,AWO-M-AC (AF) 101.A08,2020-06-25,Outdoor Air/Water,Regulated,1.0,R32,1.5,,64,19,average,3298,6300,1.910248635536689,212.75035094013865,-0.002356549940199,0.8524479472681336,-212.77745244958612,-355.88146775391,0.0145270341177704,-0.1178056935452614,355.83473403168324,208.40219591684183,-0.0970475019518747,7.335955805267774,-208.2532523716877
Advantix ,i-32V5 MIDI 0132,2021-06-07,Outdoor Air/Water,Regulated,1.0,R32,5.1,,67.0,22,average,11421,21700,1.900008755800718,70.60983549019373,0.0006749057293282,0.7394046594457141,-70.62973017704209,-299.0176226130336,0.0128070423581061,-0.0303483074182238,298.9686958141145,217.2809648665308,-0.0711261856046329,6.063932596251282,-217.137813479548
Advantix ,i-32V5 MIDI 0128,2021-06-07,Outdoor Air/Water,Regulated,1.0,R32,5.1,,67.0,22,average,10777,20800,1.9300361881785284,212.75221617257512,-0.0027587730768436,0.8922221926164827,-212.77554241827835,-278.515523614935,0.0117081936147288,0.011051359782229,278.46392999772155,248.37688284091965,-0.079348472950112,6.525596317262461,-248.23380941899995
Advantix ,i-32V5 MIDI 0126,2021-06-07,Outdoor Air/Water,Regulated,1.0,R32,4.3,,65.0,22,average,8995,17000,1.8899388549194,212.7525349614652,-0.0013404461153372,0.8290265145552251,-212.7751848327934,212.76466726086565,0.0105799455368297,0.0636063846535085,-212.8175092946605,-75.96437365891613,-0.0595851684034292,5.58884595363111,76.11205771280487
Advantix ,i-32V506,2020-05-26,Outdoor Air/Water,Regulated,1.0,R32,1.5,,62.0,19,average,2788,5800,2.080344332855093,-75.97867196574869,-0.0032598327935103,0.9062699883751342,75.95310846024825,242.2397299993684,0.0122546614291273,0.0036226081472323,-242.2881653286628,212.84237807413425,-0.0976857201933871,7.366358645706241,-212.69763969990805
Advantix ,i-32V504,2021-06-07,Outdoor Air/Water,Regulated,1.0,R32,1.5,,57.0,19,average,1726,3900,2.2595596755504057,70.61506925225751,-0.0008526674223997,0.8572171644615446,-70.62450735581214,176.28854463415172,0.0124491190557224,0.0093236341294629,-176.33580138190112,-67.92282968672076,-0.0784064658104679,6.738232650382102,68.05554099885376
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410A,3.45,39.0,65.0,11,average,3350,6700,2.0,70.61456480880275,0.0011350063476192,0.8575583819383703,-70.62499328191718,-71.55721705348066,0.0085993281786915,0.2020719017646553,71.50967670912542,-151.14790716791384,-0.0774183896936858,6.43536797069021,151.2710183485835
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410A,3.45,39.0,64.0,11,average,3333,5500,1.6501650165016502,212.75873853742576,-0.0075108019245287,1.2303929671293654,-212.7689794148311,-71.55727184947207,0.011789620412766,0.0246643315140205,71.50966941697416,8.584567879156653,-0.0730519245436522,6.208808371270742,-8.414610298710215
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410A,2.2,35.0,64.0,11,average,2907,5000,1.7199862401100792,-142.6031939056219,-0.0015333776417721,0.9238740507159746,142.58928962247583,212.76620981507995,0.0129307541038843,-0.0433193217086404,-212.81597009937104,212.83814054257567,-0.0392434353885682,4.806853706896394,-212.69253002139092
Advantix ,i-HPV5H 0270,2022-02-25,Outdoor Air/Water,Regulated,1.0,R32,12.0,,81.0,22,average,29355,45500,1.549991483563277,-80.38263318636113,0.0017557147419322,0.7606026408481669,80.37680286062965,17.656860091465212,0.0129047946958945,-0.0714691268578405,-17.70998691639545,212.87364290837036,-0.0583581887761894,5.5565188630893365,-212.65841609378083
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410A,2.68,35.0,64.0,11,average,2866,4500,1.57013258897418,-89.29752033679685,-0.0106475576852684,1.284505100116857,89.27398182733319,-213.71620619180027,0.0126862610978141,-0.0519993696017723,213.66598153069427,-51.46583139028506,-0.0425942704085242,4.862198367568142,51.60746842444464
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410A,4.6,40.0,68.0,11,average,5515,9100,1.6500453309156844,212.7588145931795,-0.0009014067151583,0.9104879707327715,-212.76873600089576,70.60994846295841,0.0143803235633289,-0.0997156828454004,-70.65705928217223,-124.29984531974212,-0.0473066576043589,5.150170170676042,124.46298711554974
Advantix ,i-SHWAK V4 16T,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410A,4.6,40.0,68.0,11,average,5515,9100,1.6500453309156844,-71.52915745985999,-0.0009017157012193,0.910499501850996,71.51923747129949,327.3695712729458,0.0143804115025337,-0.0997194331064225,-327.4166822728441,-106.53157623851376,-0.0473069429056514,5.150180836485838,106.69471795312292
Advantix ,i-SHWAK V4 14T,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410A,4.4,40.0,68.0,11,average,5167,9300,1.7998838784594542,43.95669337173679,-0.0043715858461518,0.9643720024993712,-43.978847580150905,-71.55895780228813,0.0106122408458907,0.0625825146100354,71.50802186800124,212.8449446541068,-0.059669747996954,5.518689631182062,-212.68781319426864
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410A,4.4,40.0,68.0,11,average,5167,9300,1.7998838784594542,-36.554610939142094,-0.0043717155917698,0.964376961248315,36.53245663845285,-102.79691385147554,0.0106121795450232,0.0625858983793906,102.74597804450642,87.35615738827472,-0.0596699681034767,5.518698797048256,-87.19902694165147
Advantix ,i-32V5SL12T,2020-05-26,Outdoor Air/Water,Regulated,1.0,R32,2.5,,53.0,19,average,4019,8400,2.090072157253048,217.18984528275988,-0.0020604963400422,0.8457363038764061,-217.2169445650585,-115.02348460211836,0.0117486809449974,0.0151459085132301,114.97307182208652,181.74414915909097,-0.0983693906138932,7.509095123013766,-181.6056198435382
Advantix ,i-32V5SL12,2020-05-26,Outdoor Air/Water,Regulated,1.0,R32,2.5,,53.0,19,average,4019,8400,2.090072157253048,283.82240414260457,-0.0020605790254139,0.84573848199669,-283.84950281774377,-355.88327684551894,0.0117486590546437,0.0151456300922333,355.83286394792367,106.22403949436824,-0.0983697493895526,7.509108586932066,-106.08551072577552
