Model,k1,k2,k3,k4,k5,k6,k7,k8,k9,Group
i-SHWAK V4 06,-0.019985396509857565,-0.009040385146764937,1.0906177875818974,-0.03702968402592796,0.011927709206512352,0.3198795890553267,0.14163714685839135,-0.04259416053306359,4.8621942543196806,1.0
i-SHWAK V4 08,-0.012640038919298465,-0.001393645814834013,0.8398739838297526,-0.03317446376820501,0.013949786570964708,0.23460957798564333,0.14561100860024606,-0.03924362794603907,4.806861181117617,1.0
i-SHWAK V4 10,-0.008941115956411307,-0.006556842459314127,1.0741456828466742,-0.033219410257712995,0.013448012721055462,0.26470384552926474,0.16995760340577873,-0.07305189894186787,6.208807414610039,1.0
i-SHWAK V4 12,-0.009441427913861808,0.0010283205060900164,0.7764126965178867,-0.02869087765721492,0.013834256744141123,0.22718014098543873,0.12311116617431875,-0.07741840166667188,6.435368475681724,1.0
i-SHWAK V4 14,-0.02124068990324825,-0.004191403607779046,0.9246074806890971,-0.0384442666726405,0.01150035044176405,0.29312858246273227,0.15713051832787067,-0.059669913103907256,5.518696448799263,1.0
i-SHWAK V4 14T,-0.02124068990324825,-0.004191403607779046,0.9246074806890971,-0.0384442666726405,0.01150035044176405,0.29312858246273227,0.15713051832787067,-0.059669913103907256,5.518696448799263,1.0
i-SHWAK V4 16,-0.009211497301866631,-0.0008364680708436226,0.845432606118483,-0.03262718438443268,0.016423906659771875,0.15621325731558697,0.16314167537677574,-0.04730672678430348,5.150172869391707,1.0
i-SHWAK V4 16T,-0.009211497301866631,-0.0008364680708436226,0.845432606118483,-0.03262718438443268,0.016423906659771875,0.15621325731558697,0.16314167537677574,-0.04730672678430348,5.150172869391707,1.0
PAC BT MB 10KW H11,-0.03704226786888649,0.006642684024149138,0.4796023774719807,-0.04328395452542122,0.02144956343726234,-0.06046603429585392,0.10380456288843028,-0.05490498472692128,5.534042879878394,1.0
PAC BT MB 12KW H11,-0.04239237889046638,-0.005175732072948485,0.8449294670253021,-0.04631805926119906,0.011826191140450089,0.23288681149583818,0.1148683280460124,-0.0941987305401378,7.212292214156133,1.0
PAC BT MB 14KW H11,-0.043555085984562,-0.004373352572903207,0.8340267956395152,-0.04776402554688777,0.009854506424357888,0.294487550291277,0.15338465346247485,-0.10645986715035989,7.718961646174953,1.0
PAC BT MB 16KW H11,-0.04523925052857195,-0.006206932225548259,0.9189228943254454,-0.04848393040196524,0.00927834230793916,0.33311791452133316,0.1284654162368406,-0.09962179671735463,7.367370305330121,1.0
PAC BT MB 12KW H13,-0.039809210124807905,-0.005637378680339755,0.895617127573507,-0.046000653098173146,0.012036998169232437,0.23995604872703313,0.15002872083711705,-0.11996586576959416,8.238726112899881,1.0
PAC BT MB 14KW H13,-0.039565194040392625,-0.0017381190198659886,0.7659343537826002,-0.046249965732772416,0.011666379788087307,0.23803771027688578,0.16445227441015384,-0.10497979814696896,7.656847600866524,1.0
PAC BT MB 16KW H13,-0.0408332903326028,-0.0037354943717483715,0.8713241351929601,-0.04701659153270989,0.011316145296100841,0.2771115119439255,0.16227374695209734,-0.09618142621802546,7.260778410229114,1.0
PAC BT MB 5KW H11,-0.030108406825724784,0.022376396835117784,0.028263954346101426,-0.03824942243278765,0.0439363226654994,-0.7444019769060873,0.13800044834496888,-0.11949569602896284,8.27591298178821,1.0
PAC BT MB 7KW H11,-0.04116905608055313,0.0008688162738638869,0.6810364816954517,-0.04608545870477815,0.01723136925223468,0.07156615034574151,0.1500738560590693,-0.11891674815694367,8.237504721688206,1.0
PAC BT MB 9KW H11,-0.04297406413519287,-0.0006937957043525783,0.7277386561525679,-0.04889635500298705,0.008585995887358326,0.33013702308487175,0.19122496704220576,-0.06593473043851344,6.039718974176186,1.0
PAC-BT-UE-10KW-H11,-0.01718364568383311,-0.004399636100935549,0.9527631412457601,-0.03895707764308025,0.014920736821453189,0.20882233683070767,0.2303309254958171,-0.09230653257825006,7.194378818141972,1.0
PAC-BTE-UI-10-16KW-H11,-0.015996915792448062,-0.001068386973084655,0.8181087470961421,-0.03495892409217041,0.016409099009151537,0.09978531305167138,0.23535982901915636,-0.08919094732321446,7.255750841239882,1.0
PAC-BT-UE-12KW-H11,-0.018214947499799284,-0.005780833049645216,0.9847187046012845,-0.03784253573480465,0.012209263942836683,0.27996054784422325,0.21469698230246761,-0.07678548656350728,6.879311662993614,1.0
PAC-BT-UE-14KW-H11,-0.016432432120818765,0.0034494637111395668,0.6892620315493325,-0.038064971097235445,0.020714343802731815,-0.01727580237126061,0.22385495236909936,-0.0860517310104116,7.130785919587049,1.0
PAC-BT-UE-16KW-H11,-0.015124109126482892,-0.00035762088688486384,0.831810399563308,-0.03823413115766157,0.018759363402788148,0.08596733868704484,0.25298156705427133,-0.09092085278896242,7.166218832036759,1.0
PAC-BT-UE-12KW-H13,-0.016236541132804122,0.00034263309163020674,0.8099752463424841,-0.03837108318888977,0.01989660197718623,0.06117399281823323,0.2536038481285989,-0.09482679723039682,7.608307684091648,1.0
PAC-BT-UE-14KW-H13,-0.016450294384423234,-0.00031601398949385857,0.8216245223287761,-0.03528633968816318,0.01998556712553584,0.035430389852552924,0.18958470248095402,-0.09105166518742852,7.2988545318139435,1.0
PAC-BT-UE-16KW-H13,-0.016578228035186642,0.0004219569334231867,0.8080119427425488,-0.03945333821226266,0.019071692941564498,0.08323821763000938,0.282465779215105,-0.09239361031654068,7.512400127378277,1.0
PAC-BT-UE-4KW-H11,-0.012243995909961336,-0.01506173575440204,1.2839777756190476,-0.03799130715005407,0.0023128780725927152,0.5762972086172775,0.24620940886673473,-0.09812516865238756,7.742569741392245,1.0
PAC-BTE-UI-4-8KW-H11,-0.015964350393026714,-0.00601854876024597,1.1559446581908701,-0.04769083224285065,0.017287987619008887,0.2940055675487121,0.20333649407643048,-0.08935773193268046,7.219160972585032,1.0
PAC-BT-UE-6KW-H11,-0.01837875092881473,-0.0013831759836501207,0.8679698636644319,-0.03588731314475648,0.01940580403916216,0.05342554729685436,0.1520026725734374,-0.08945987069986404,7.12942370130073,1.0
PAC-BT-UE-8KW-H11,-0.010334732503935481,-0.0010054043278099128,0.8542399421153614,-0.03659644493423566,0.015378995065350917,0.1450331945828739,0.21179740816913764,-0.08048814785397819,6.785489153202654,1.0
WELLEA MONOBLOC 12 KW 1PH,-0.038767803601197165,0.005205084113203614,0.5425515196164117,-0.043016354902566,0.021404613719596257,-0.043479847665445985,0.09060431644868412,-0.07377646990460575,6.28770104540041,1.0
WELLEA MONOBLOC 14 KW 1PH,-0.0414337901589717,0.0003769725086920709,0.6835834923648518,-0.04511056170499933,0.01497392515117757,0.1429874859885693,0.09710533191780525,-0.07258069148673552,6.277592608020326,1.0
WELLEA MONOBLOC 16 KW 1PH,-0.044086613552466694,-0.0037653623314373563,0.8168646860573578,-0.04746921305743714,0.008931864855784998,0.3241709064373055,0.11696358649796244,-0.07661039789291572,6.4391098748260855,1.0
WELLEA MONOBLOC 12 KW 3PH,-0.038767803601197165,0.005205084113203614,0.5425515196164117,-0.043016354902566,0.021404613719596257,-0.043479847665445985,0.09060431644868412,-0.07377646990460575,6.28770104540041,1.0
WELLEA MONOBLOC 14 KW 3PH,-0.045227627071206526,0.00048225002621268,0.6386118921992046,-0.04832179289740983,0.013883937792537741,0.1594131699977591,0.1184613909353021,-0.04888751675695815,5.408393520246875,1.0
WELLEA MONOBLOC 16KW 3PH,-0.044086613552466694,-0.0037653623314373563,0.8168646860573578,-0.04746921305743714,0.008931864855784998,0.3241709064373055,0.11696358649796244,-0.07661039789291572,6.4391098748260855,1.0
WELLEA MONOBLOC 5KW,-0.04166152242460192,0.0004293603411755271,0.6882414409240232,-0.044758754183172725,0.018576840434625742,0.03663192063437504,0.0893740160859716,-0.08837598001228822,6.897615256621555,1.0
WELLEA MONOBLOC 7KW,-0.04166152242460192,0.0004293603411755271,0.6882414409240232,-0.044758754183172725,0.018576840434625742,0.03663192063437504,0.0893740160859716,-0.08837598001228822,6.897615256621555,1.0
WELLEA MONOBLOC 9KW,-0.0447947308488528,-0.006222837354237744,0.9080905138570181,-0.04778740459555069,0.012102417034093862,0.2336409900541,0.12349712822401095,-0.10733674787134334,7.684960759589402,1.0
AW-YHPS04-H91 + AW-WHPS0406-N91,-0.04417071145854441,-0.0016890158859514174,0.7472657900551596,-0.04756966755243805,0.01496333205207723,0.12787942647602207,0.1677151746384649,-0.11429931089441465,8.189535700760867,1.0
AW-YHPS06-H91 + AW-WHPS0406-N91,-0.04417071145854441,-0.0016890158859514174,0.7472657900551596,-0.04756966755243805,0.01496333205207723,0.12787942647602207,0.1677151746384649,-0.11429931089441465,8.189535700760867,1.0
AW-YHPS08-H91 + AW-WHPS0810-N91,-0.04573748517633924,-0.005459249274646712,0.8622333377930396,-0.04768161770744224,0.012354772396265833,0.2133913419430725,0.12459301793912936,-0.1282665186953576,8.658086017365944,1.0
AW-YHPS10-H91 + AW-WHPS0810-N91,-0.04573748517633924,-0.005459249274646712,0.8622333377930396,-0.04768161770744224,0.012354772396265833,0.2133913419430725,0.12459301793912936,-0.1282665186953576,8.658086017365944,1.0
AW-YHPS04-H91 + AW-WHPST0410-N91,-0.03230611823844594,0.006670857965844686,0.5081356712701507,-0.03806349869340762,0.02916691772072094,-0.2740360275042514,0.10746956107542227,-0.10404824552482023,7.7567649761517,1.0
AW-YHPS06-H91 + AW-WHPST0410-N91,-0.04103966193279223,-0.0018008116593543505,0.7679222146392838,-0.0449330344513989,0.01792453679215992,0.05617168663341415,0.11353380751767649,-0.11786630438235915,8.348035886831715,1.0
AW-YHPS08-H91 + AW-WHPST0410-N91,-0.043958645605306525,-0.003775903074365938,0.8222851695581456,-0.046380169074054116,0.01566547517120824,0.11908505073320341,0.11425195636988311,-0.1318543844399162,8.888862617827535,1.0
AW-YHPS10-H91 + AW-WHPST0410-N91,-0.04493500661219748,-0.005324388224612605,0.8727002708541425,-0.04748220967250026,0.0109141942049217,0.2670771403249274,0.14740668250479247,-0.13707923358455076,9.308675265702155,1.0
alpha innotec L12 Split-HT 12,-0.03278419651643885,-0.006924929754159064,0.9401677888834518,-0.043103913723777386,0.009220956980957765,0.3340698549903548,0.15318082082236487,-0.07409277965853263,6.484556427883788,1.0
