Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p4_P_el [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-]
Advantix ,i-SHWAK V4 06,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,2.68,35.0,64.0,11.0,average,2866.0,4500.0,1.57,1.756924104210583,-0.0106475580992369,1.2845051242704224,-1.7804624516282006,255.16615195455165,0.0126862087400178,-0.0519982471799114,-255.2163760233149,-40.3607005486704,-0.042594098129816,4.862191860731595,40.502337728959205
Advantix ,i-SHWAK V4 08,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,2.2,35.0,64.0,11.0,average,2907.0,5000.0,1.72,-141.68907092509116,-0.0015327842285525,0.9238517376116808,141.67516715060682,158.81443092763152,0.0129307113655301,-0.043315924334934,-158.86419116964262,221.7222378400974,-0.0392428209036025,4.806830957325336,-221.5766261033884
Advantix ,i-SHWAK V4 10,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,3.45,39.0,64.0,11.0,average,3333.0,5500.0,1.65,22.30789398002711,-0.0075105394060537,1.230384049236107,-22.31813559136846,134.1534090539963,0.0117896405030152,0.0246631076941517,-134.20101134610115,212.8524411073512,-0.0730518357550012,6.208804527937192,-212.6824836648456
Advantix ,i-SHWAK V4 12,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,3.45,39.0,65.0,11.0,average,3350.0,6700.0,2.0,-142.6013953504208,0.0011363114986192,0.8575099556546107,142.59096871480523,-74.40046196708818,0.0085993281786808,0.2020723874281388,74.35292142307492,318.33051990253574,-0.0774179721810553,6.435352458779399,-318.20740836809443
Advantix ,i-SHWAK V4 14,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,4.4,40.0,68.0,11.0,average,5167.0,9300.0,1.8,212.75280653066736,-0.0043721858195728,0.9643942299517776,-212.7749612703644,-71.55895780228813,0.0106122408458907,0.0625825146100354,71.50802186800124,208.4028825098664,-0.059670359343124,5.518714170781425,-208.2457524860779
Advantix ,i-SHWAK V4 16,2020-05-26,Outdoor Air/Water,Regulated,1.0,R410a,4.6,40.0,68.0,11.0,average,5515.0,9100.0,1.65,212.758814748229,-0.000901038025924,0.9104742121163358,-212.76873584584663,236.6242536008729,0.0143804743047962,-0.0997217056758183,-236.6713644811132,-142.51751505202998,-0.0473070502842985,5.150185243976614,142.68065605035025
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,67.0,17.0,average,5026.0,9700.0,1.93,-89.30517924603437,0.0062317261003018,0.4499389226714436,89.27042804638901,-341.66344449191405,0.0165880808752138,-0.1846536913347035,341.6203373919973,70.67900726359947,-0.054905186969077,5.534050825791299,-70.5752031427699
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,,17.0,average,5026.0,9700.0,1.93,212.73920501961865,-0.0060825279521638,0.9929978034811217,-212.7890261980804,255.4142531597905,0.0106828867900771,0.0719046303268253,-255.465268920832,-142.53739186740654,-0.0941986490446572,7.212289293740569,142.65226032681616
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,,17.0,average,5707.0,11700.0,2.05,-80.32023680949776,-0.0047843883773203,0.9124345169249994,80.27258696085666,184.3328905028663,0.0094777405634641,0.1357056453779462,-184.38433543281155,69.59746712059052,-0.1064600171653951,7.718967224924625,-69.44408257712824
Airwell Residential,PAC BT MB 16KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,,17.0,average,6089.0,12300.0,2.02,-22.677682726593684,-0.0068124907772997,1.0085740502504834,22.628029918379507,-357.0516509772068,0.0091949053154442,0.1639045743424209,357.00315567621743,-160.29954890687796,-0.0996222330442194,7.367386585331078,160.42801384133656
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,70.0,27.0,average,4922.0,9500.0,1.93,-130.6375744811346,-0.0062900592290129,0.9993176950365412,130.59315580830528,212.7665236321868,0.0109190314800001,0.0675125032527692,-212.81559642325465,57.3822877182005,-0.1199658605680752,8.238725954692297,-57.23225901081892
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,73.0,27.0,average,5743.0,11600.0,2.02,-124.8217325654641,-0.0017977396051259,0.7923348202756192,124.78080327566946,-71.55834624796807,0.0109520142067146,0.0737158427589373,71.50861961863069,106.2397129219558,-0.1049797516200509,7.656845930416233,-106.07526070937516
Airwell Residential,PAC BT MB 16KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,73.0,27.0,average,5879.0,11700.0,1.99,-67.22861208193787,-0.0038313285279293,0.8936677049941503,67.18673175264523,-71.55603113058777,0.0106571268121272,0.1105940550895601,71.51085261576941,212.85081409681567,-0.0961813471822628,7.260774598783031,-212.68854049326185
Airwell Residential,PAC BT MB 5KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,64.0,16.0,average,2950.0,5900.0,2.0,212.75335402101976,0.0155489284004495,0.0196707307105119,-212.7742775102693,147.40362555469437,0.0252107590373797,-0.5581789165303811,-147.43477034380558,-107.00191093657853,-0.1194960289313788,8.275925404145202,107.13991116252645
Airwell Residential,PAC BT MB 7KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,64.0,16.0,average,2950.0,5900.0,2.0,283.81583637233337,0.000853813654883,0.6695030624816042,-283.85630792190767,174.55497201245166,0.0140938082078464,-0.0732366147798078,-174.6004320887178,0.7291973058824324,-0.1189167459688103,8.237504620475777,-0.5791234492078381
Airwell Residential,PAC BT MB 9KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,,16.0,average,3889.0,7700.0,1.98,88.37061582482511,-0.000705250433696,0.7400155661419937,-88.41431519839759,217.3320483255912,0.0084756093483283,0.1809510600845497,-217.384740367968,-80.31159073942092,-0.0659347370605534,6.039719264064345,80.50281557912209
Airwell Residential,PAC-BT-UE-10KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,70.0,19.0,average,5903.0,10920.0,1.85,-71.5337743642482,-0.0048507114654708,1.0504737668401931,71.51482833025537,-99.98392066154466,0.0126706603576027,0.0686437120027323,99.94772549871593,132.97465881906086,-0.0923066747412997,7.194384108175257,-132.74432808740835
Airwell Residential,PAC-BT-UE-12KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,69.0,19.0,average,4257.0,8600.0,2.02,-35.9988023108993,-0.0066612791458166,1.1347117398364357,35.9778128132416,212.77002391868945,0.0118658285126725,0.0812686674223347,-212.8120048536445,-89.18987830685207,-0.0767855921661211,6.879315407022065,89.40457522577576
Airwell Residential,PAC-BT-UE-14KW-H11,2019-09-11,Outdoor Air/Water,Regulated,1.0,R410a,3.9,35.0,67.0,19.0,average,4423.0,8580.0,1.94,-124.79919102077918,0.0031038511393053,0.6201690666790016,124.78440589738838,304.9170607691752,0.0167974741883318,-0.2083751993867418,-304.9619380310912,-2.5638712416192986,-0.0860517133381353,7.130785198251749,2.787726228149173
